"Geography_Code","NM_1287_1_0","NM_1287_1_1","NM_1287_1_10","NM_1287_1_11","NM_1287_1_12","NM_1287_1_13","NM_1287_1_14","NM_1287_1_15","NM_1287_1_16","NM_1287_1_17","NM_1287_1_18","NM_1287_1_19","NM_1287_1_2","NM_1287_1_20","NM_1287_1_3","NM_1287_1_4","NM_1287_1_5","NM_1287_1_6","NM_1287_1_7","NM_1287_1_8","NM_1287_1_9"
"N00000001",1113,682,18,324,45,443,93,49,44,0,35,9,431,25,18,359,54,468,1020,633,387
"N00000002",351,326,0,23,2,39,2,2,0,0,0,0,25,0,0,23,2,39,349,324,25
"N00000003",237,236,0,0,1,6,0,0,0,0,0,0,1,0,0,0,1,6,237,236,1
"N00000004",616,588,5,22,1,44,1,1,0,0,0,0,28,0,5,22,1,44,615,587,28
"N00000005",374,348,2,23,1,17,1,1,0,0,0,0,26,0,2,23,1,17,373,347,26
"N00000006",251,243,0,8,0,9,7,7,0,0,0,0,8,0,0,8,0,9,244,236,8
"N00000007",245,234,0,9,0,27,2,0,2,0,1,1,11,0,0,10,1,27,243,234,9
"N00000008",288,259,1,26,1,40,3,2,1,0,0,1,29,0,1,26,2,40,285,257,28
"N00000009",727,657,3,59,6,53,15,13,2,0,2,0,70,0,3,61,6,53,712,644,68
"N00000010",242,235,0,5,2,19,1,1,0,0,0,0,7,0,0,5,2,19,241,234,7
"N00000011",293,275,0,16,1,29,6,5,1,0,1,0,18,1,0,17,1,30,287,270,17
"N00000012",264,245,0,15,3,7,2,1,1,0,1,0,19,0,0,16,3,7,262,244,18
"N00000013",268,246,1,19,1,28,1,0,1,0,0,1,22,0,1,19,2,28,267,246,21
"N00000014",460,389,1,69,0,51,6,5,1,0,1,0,71,0,1,70,0,51,454,384,70
"N00000015",226,208,0,17,0,13,1,0,1,0,1,0,18,1,0,18,0,14,225,208,17
"N00000016",223,197,3,21,1,13,4,3,1,0,0,1,26,0,3,21,2,13,219,194,25
"N00000017",340,306,0,31,3,41,8,8,0,0,0,0,34,0,0,31,3,41,332,298,34
"N00000018",229,198,0,29,0,23,2,0,2,0,1,1,31,6,0,30,1,29,227,198,29
"N00000019",261,243,0,16,1,22,8,7,1,0,0,1,18,0,0,16,2,22,253,236,17
"N00000020",236,211,1,24,0,15,2,2,0,0,0,0,25,0,1,24,0,15,234,209,25
"N00000021",269,240,0,27,2,43,4,4,0,0,0,0,29,0,0,27,2,43,265,236,29
"N00000022",269,236,5,27,0,21,2,1,1,0,0,1,33,0,5,27,1,21,267,235,32
"N00000023",218,207,0,9,2,18,2,2,0,0,0,0,11,0,0,9,2,18,216,205,11
"N00000024",533,517,0,16,0,25,3,3,0,0,0,0,16,0,0,16,0,25,530,514,16
"N00000025",460,435,1,24,0,16,0,0,0,0,0,0,25,2,1,24,0,18,460,435,25
"N00000026",466,442,0,22,2,32,4,4,0,0,0,0,24,3,0,22,2,35,462,438,24
"N00000027",540,514,0,26,0,25,5,5,0,0,0,0,26,0,0,26,0,25,535,509,26
"N00000028",236,223,0,13,0,17,2,2,0,0,0,0,13,0,0,13,0,17,234,221,13
"N00000029",403,376,0,24,2,21,7,6,1,0,1,0,27,0,0,25,2,21,396,370,26
"N00000030",375,341,0,33,1,17,3,3,0,0,0,0,34,0,0,33,1,17,372,338,34
"N00000031",707,668,4,32,3,33,1,1,0,0,0,0,39,2,4,32,3,35,706,667,39
"N00000032",386,370,0,15,1,36,0,0,0,0,0,0,16,0,0,15,1,36,386,370,16
"N00000033",498,460,5,31,0,13,6,4,2,0,2,0,38,0,5,33,0,13,492,456,36
"N00000034",474,441,0,26,7,22,4,4,0,0,0,0,33,0,0,26,7,22,470,437,33
"N00000035",291,279,0,12,0,29,3,3,0,0,0,0,12,0,0,12,0,29,288,276,12
"N00000036",345,315,0,26,4,19,7,7,0,0,0,0,30,2,0,26,4,21,338,308,30
"N00000037",285,279,0,6,0,12,0,0,0,0,0,0,6,0,0,6,0,12,285,279,6
"N00000038",406,367,6,30,0,14,4,1,3,0,1,2,39,1,6,31,2,15,402,366,36
"N00000039",1262,1174,11,71,4,64,28,26,2,0,2,0,88,1,11,73,4,65,1234,1148,86
"N00000040",265,248,0,17,0,25,0,0,0,0,0,0,17,0,0,17,0,25,265,248,17
"N00000041",462,445,0,16,1,22,0,0,0,0,0,0,17,0,0,16,1,22,462,445,17
"N00000042",410,392,0,16,2,22,1,1,0,0,0,0,18,0,0,16,2,22,409,391,18
"N00000043",1245,1169,6,64,1,61,22,17,5,0,5,0,76,2,6,69,1,63,1223,1152,71
"N00000044",312,298,0,13,1,34,0,0,0,0,0,0,14,0,0,13,1,34,312,298,14
"N00000045",515,495,2,18,0,27,2,2,0,0,0,0,20,0,2,18,0,27,513,493,20
"N00000046",394,383,0,11,0,19,0,0,0,0,0,0,11,0,0,11,0,19,394,383,11
"N00000047",374,349,0,23,2,19,2,2,0,0,0,0,25,3,0,23,2,22,372,347,25
"N00000048",304,266,1,30,7,60,4,4,0,0,0,0,38,0,1,30,7,60,300,262,38
"N00000049",254,229,0,20,5,11,2,2,0,0,0,0,25,1,0,20,5,12,252,227,25
"N00000050",299,289,0,10,0,35,0,0,0,0,0,0,10,0,0,10,0,35,299,289,10
"N00000051",313,270,1,42,0,15,7,7,0,0,0,0,43,1,1,42,0,16,306,263,43
"N00000052",309,284,1,19,5,20,3,3,0,0,0,0,25,0,1,19,5,20,306,281,25
"N00000053",261,232,0,15,12,27,7,5,2,0,2,0,29,0,0,17,12,27,254,227,27
"N00000054",266,244,0,21,1,29,3,3,0,0,0,0,22,0,0,21,1,29,263,241,22
