"Geography_Code","NM_1504_1_0","NM_1504_1_1","NM_1504_1_10","NM_1504_1_2","NM_1504_1_3","NM_1504_1_4","NM_1504_1_5","NM_1504_1_6","NM_1504_1_7","NM_1504_1_8","NM_1504_1_9"
"N00000001",1113,1020,7,1,15,0,4,0,1,7,58
"N00000002",351,349,1,0,0,0,0,0,0,1,0
"N00000003",237,237,0,0,0,0,0,0,0,0,0
"N00000004",616,615,0,0,0,0,0,0,0,0,1
"N00000005",374,373,0,0,0,0,0,0,0,1,0
"N00000006",251,244,0,0,2,0,0,0,0,0,5
"N00000007",245,243,0,0,0,0,0,0,0,2,0
"N00000008",288,285,0,0,0,0,0,0,2,1,0
"N00000009",727,712,0,0,4,5,4,0,0,0,2
"N00000010",242,241,0,0,0,1,0,0,0,0,0
"N00000011",293,287,2,0,1,2,0,0,1,0,0
"N00000012",264,262,1,0,0,0,0,0,1,0,0
"N00000013",268,267,0,0,0,0,0,0,0,0,1
"N00000014",460,454,1,0,3,1,0,0,1,0,0
"N00000015",226,225,0,0,1,0,0,0,0,0,0
"N00000016",223,219,1,1,0,0,1,0,1,0,0
"N00000017",340,332,3,0,4,0,0,0,0,0,1
"N00000018",229,227,0,0,0,0,0,0,0,2,0
"N00000019",261,253,0,0,1,0,4,0,0,3,0
"N00000020",236,234,0,0,2,0,0,0,0,0,0
"N00000021",269,265,0,0,3,0,0,0,0,0,1
"N00000022",269,267,0,0,0,0,0,0,1,1,0
"N00000023",218,216,0,0,1,0,0,0,0,1,0
"N00000024",533,530,0,0,0,0,3,0,0,0,0
"N00000025",460,460,0,0,0,0,0,0,0,0,0
"N00000026",466,462,0,0,4,0,0,0,0,0,0
"N00000027",540,535,1,0,3,0,0,0,0,1,0
"N00000028",236,234,0,0,1,0,0,0,0,0,1
"N00000029",403,396,0,0,2,0,2,0,3,0,0
"N00000030",375,372,0,0,0,0,0,0,0,0,3
"N00000031",707,706,1,0,0,0,0,0,0,0,0
"N00000032",386,386,0,0,0,0,0,0,0,0,0
"N00000033",498,492,0,1,0,0,0,0,0,0,5
"N00000034",474,470,0,0,3,0,0,0,0,0,1
"N00000035",291,288,0,0,0,3,0,0,0,0,0
"N00000036",345,338,0,0,0,0,0,0,0,3,4
"N00000037",285,285,0,0,0,0,0,0,0,0,0
"N00000038",406,402,0,0,1,0,0,0,0,3,0
"N00000039",1262,1234,4,0,14,8,0,0,0,1,1
"N00000040",265,265,0,0,0,0,0,0,0,0,0
"N00000041",462,462,0,0,0,0,0,0,0,0,0
"N00000042",410,409,0,0,1,0,0,0,0,0,0
"N00000043",1245,1223,0,1,10,0,1,0,0,0,10
"N00000044",312,312,0,0,0,0,0,0,0,0,0
"N00000045",515,513,0,0,2,0,0,0,0,0,0
"N00000046",394,394,0,0,0,0,0,0,0,0,0
"N00000047",374,372,1,0,1,0,0,0,0,0,0
"N00000048",304,300,0,0,2,1,0,0,1,0,0
"N00000049",254,252,0,0,1,0,0,0,1,0,0
"N00000050",299,299,0,0,0,0,0,0,0,0,0
"N00000051",313,306,0,0,1,1,0,0,0,5,0
"N00000052",309,306,0,0,2,0,0,0,1,0,0
"N00000053",261,254,0,0,1,0,0,2,3,1,0
"N00000054",266,263,1,0,1,0,0,0,1,0,0
"N00000055",266,262,0,0,0,3,0,0,1,0,0
"N00000056",283,283,0,0,0,0,0,0,0,0,0
"N00000057",279,275,0,0,0,1,0,0,2,0,1
"N00000058",266,246,0,0,3,12,0,0,5,0,0
"N00000059",226,218,0,0,1,0,0,0,7,0,0
"N00000060",394,377,0,0,1,10,6,0,0,0,0
"N00000061",273,254,0,0,4,10,0,0,5,0,0
"N00000062",351,342,1,0,1,0,4,0,3,0,0
"N00000063",431,405,0,0,4,4,0,0,16,2,0
"N00000064",279,269,0,0,1,0,0,1,4,1,3
"N00000065",389,376,0,0,4,6,0,0,3,0,0
"N00000066",264,255,0,0,0,3,0,0,3,0,3
