"Geography_Code","NM_1508_1_0","NM_1508_1_1","NM_1508_1_2","NM_1508_1_3","NM_1508_1_4","NM_1508_1_5","NM_1508_1_6"
"N00000001",310,23,199,82,3,3,389
"N00000002",141,15,69,46,9,2,196
"N00000003",78,6,22,33,12,5,152
"N00000004",195,11,52,87,28,17,383
"N00000005",124,4,36,58,18,8,243
"N00000006",86,8,30,35,5,8,148
"N00000007",89,5,26,40,7,11,174
"N00000008",138,21,67,35,11,4,188
"N00000009",275,13,97,121,27,17,492
"N00000010",86,7,29,33,12,5,158
"N00000011",136,47,62,19,7,1,125
"N00000012",121,34,62,21,3,1,117
"N00000013",136,50,59,19,5,3,127
"N00000014",205,49,100,49,6,1,222
"N00000015",119,58,48,12,1,0,75
"N00000016",122,49,61,8,3,1,90
"N00000017",144,48,62,27,6,1,138
"N00000018",94,27,43,21,3,0,94
"N00000019",116,38,52,21,5,0,109
"N00000020",122,45,64,13,0,0,90
"N00000021",128,48,58,18,3,1,107
"N00000022",126,45,63,13,5,0,104
"N00000023",115,42,57,16,0,0,89
"N00000024",174,4,48,79,30,13,357
"N00000025",159,5,47,62,33,12,319
"N00000026",151,5,33,63,31,19,344
"N00000027",178,14,68,69,20,7,297
"N00000028",85,6,46,24,9,0,121
"N00000029",136,7,34,61,23,11,280
"N00000030",131,5,36,60,21,9,257
"N00000031",201,9,55,95,30,12,393
"N00000032",133,8,57,49,9,10,227
"N00000033",166,9,49,76,22,10,309
"N00000034",158,11,61,63,14,9,268
"N00000035",128,27,75,17,7,2,138
"N00000036",134,22,60,39,11,2,180
"N00000037",124,18,74,26,5,1,145
"N00000038",138,15,54,52,12,5,215
"N00000039",448,92,174,144,29,9,592
"N00000040",114,37,50,23,3,1,110
"N00000041",144,11,62,58,9,4,222
"N00000042",126,8,54,45,15,4,205
"N00000043",368,50,142,151,14,11,531
"N00000044",108,20,59,23,6,0,123
"N00000045",170,7,41,80,28,14,349
"N00000046",129,7,42,41,21,18,270
"N00000047",138,9,48,58,18,5,241
"N00000048",125,31,70,18,4,2,127
"N00000049",123,33,65,19,5,1,122
"N00000050",135,20,53,47,9,6,199
"N00000051",124,56,56,6,4,2,94
"N00000052",120,38,53,19,7,3,126
"N00000053",108,46,46,16,0,0,78
"N00000054",111,29,57,19,4,2,116
"N00000055",117,22,71,19,2,3,132
"N00000056",119,39,50,21,9,0,119
"N00000057",118,62,44,11,1,0,69
"N00000058",121,48,55,14,3,1,96
"N00000059",110,57,46,7,0,0,60
"N00000060",180,90,76,11,2,1,108
"N00000061",129,22,54,45,7,1,169
"N00000062",130,12,41,57,14,6,226
"N00000063",155,66,54,27,7,1,133
"N00000064",133,58,63,8,3,1,93
"N00000065",146,8,79,50,4,5,211
"N00000066",110,10,50,39,11,0,161
"N00000067",134,54,56,17,5,2,113
"N00000068",124,6,46,53,16,3,214
"N00000069",145,92,41,10,1,1,68
"N00000070",104,18,45,36,4,1,133
"N00000071",136,39,69,25,2,1,129
"N00000072",634,73,275,248,32,6,892
"N00000073",249,99,110,35,2,3,199
"N00000074",386,29,163,166,27,1,580
"N00000075",111,16,55,33,5,2,145
"N00000076",114,15,49,43,5,2,158
"N00000077",98,8,48,32,8,2,145
"N00000078",161,6,70,72,12,1,254
"N00000079",192,6,58,86,26,16,379
"N00000080",146,3,33,80,20,10,295
"N00000081",140,20,48,51,16,5,220
"N00000082",132,2,43,58,18,11,265
"N00000083",208,7,45,98,38,20,448
"N00000084",153,8,24,81,26,14,326
"N00000085",180,59,80,33,5,3,175
"N00000086",142,24,56,53,6,3,192
"N00000087",303,21,104,128,40,10,528
"N00000088",136,60,64,9,2,1,92
"N00000089",164,14,71,65,9,5,248
"N00000090",138,15,61,52,7,3,198
"N00000091",176,28,80,49,11,8,250
"N00000092",168,17,43,76,22,10,302
"N00000093",140,11,49,50,24,6,248
"N00000094",161,6,40,66,24,25,354
