"Geography_Code","NM_1530_1_0","NM_1530_1_1","NM_1530_1_2"
"N00000001",1113,982,131
"N00000002",351,351,0
"N00000003",237,233,4
"N00000004",616,616,0
"N00000005",374,374,0
"N00000006",251,240,11
"N00000007",245,245,0
"N00000008",288,288,0
"N00000009",727,727,0
"N00000010",242,234,8
"N00000011",293,293,0
"N00000012",264,264,0
"N00000013",268,268,0
"N00000014",460,460,0
"N00000015",226,226,0
"N00000016",223,223,0
"N00000017",340,340,0
"N00000018",229,229,0
"N00000019",261,261,0
"N00000020",236,236,0
"N00000021",269,269,0
"N00000022",269,269,0
"N00000023",218,218,0
"N00000024",533,533,0
"N00000025",460,460,0
"N00000026",466,460,6
"N00000027",540,535,5
"N00000028",236,236,0
"N00000029",403,403,0
"N00000030",375,375,0
"N00000031",707,699,8
"N00000032",386,386,0
"N00000033",498,495,3
"N00000034",474,438,36
"N00000035",291,291,0
"N00000036",345,345,0
"N00000037",285,285,0
"N00000038",406,406,0
"N00000039",1262,1262,0
"N00000040",265,265,0
"N00000041",462,462,0
"N00000042",410,410,0
"N00000043",1245,1202,43
"N00000044",312,312,0
"N00000045",515,515,0
"N00000046",394,394,0
"N00000047",374,353,21
"N00000048",304,304,0
"N00000049",254,254,0
"N00000050",299,299,0
"N00000051",313,313,0
"N00000052",309,309,0
"N00000053",261,252,9
"N00000054",266,266,0
"N00000055",266,266,0
"N00000056",283,270,13
"N00000057",279,279,0
"N00000058",266,266,0
"N00000059",226,226,0
"N00000060",394,394,0
"N00000061",273,273,0
"N00000062",351,351,0
"N00000063",431,354,77
"N00000064",279,279,0
"N00000065",389,389,0
"N00000066",264,264,0
"N00000067",316,316,0
"N00000068",371,371,0
"N00000069",334,334,0
"N00000070",243,243,0
"N00000071",283,258,25
"N00000072",1753,1753,0
"N00000073",521,444,77
"N00000074",1047,1047,0
"N00000075",410,277,133
"N00000076",344,344,0
"N00000077",275,275,0
"N00000078",488,488,0
"N00000079",564,564,0
"N00000080",424,424,0
"N00000081",339,339,0
"N00000082",342,342,0
"N00000083",650,650,0
"N00000084",456,456,0
"N00000085",437,399,38
"N00000086",395,395,0
"N00000087",913,913,0
"N00000088",216,216,0
"N00000089",478,478,0
"N00000090",392,391,1
"N00000091",476,476,0
"N00000092",504,504,0
"N00000093",421,400,21
"N00000094",492,492,0
"N00000095",468,468,0
"N00000096",464,438,26
"N00000097",850,850,0
"N00000098",1192,1181,11
"N00000099",258,258,0
"N00000100",341,341,0
"N00000101",282,282,0
"N00000102",318,318,0
"N00000103",623,550,73
"N00000104",322,322,0
"N00000105",327,327,0
"N00000106",198,198,0
"N00000107",269,269,0
"N00000108",243,243,0
"N00000109",512,512,0
"N00000110",258,258,0
"N00000111",356,356,0
"N00000112",402,402,0
"N00000113",309,309,0
"N00000114",318,318,0
"N00000115",302,302,0
"N00000116",287,287,0
"N00000117",168,168,0
"N00000118",333,311,22
"N00000119",289,289,0
"N00000120",323,323,0
"N00000121",293,293,0
"N00000122",481,481,0
"N00000123",351,351,0
"N00000124",369,325,44
"N00000125",464,464,0
"N00000126",481,481,0
"N00000127",405,405,0
"N00000128",991,949,42
"N00000129",346,346,0
"N00000130",498,498,0
"N00000131",388,388,0
"N00000132",366,366,0
"N00000133",322,322,0
"N00000134",437,437,0
"N00000135",312,312,0
"N00000136",507,507,0
"N00000137",315,315,0
"N00000138",464,464,0
"N00000139",301,288,13
"N00000140",333,333,0
"N00000141",443,443,0
"N00000142",205,205,0
"N00000143",215,215,0
"N00000144",228,228,0
"N00000145",124,124,0
"N00000146",271,271,0
"N00000147",227,227,0
"N00000148",676,676,0
"N00000149",432,432,0
"N00000150",365,365,0
"N00000151",283,283,0
"N00000152",270,270,0
"N00000153",250,250,0
"N00000154",259,259,0
"N00000155",337,335,2
"N00000156",301,301,0
"N00000157",368,368,0
"N00000158",678,678,0
"N00000159",221,221,0
"N00000160",322,283,39
"N00000161",342,342,0
"N00000162",242,242,0
"N00000163",311,311,0
"N00000164",288,288,0
"N00000165",325,325,0
"N00000166",273,273,0
"N00000167",379,379,0
"N00000168",345,345,0
"N00000169",704,704,0
"N00000170",370,370,0
"N00000171",416,416,0
"N00000172",772,772,0
"N00000173",373,373,0
"N00000174",393,393,0
"N00000175",373,373,0
"N00000176",474,474,0
"N00000177",323,323,0
"N00000178",667,667,0
"N00000179",852,852,0
"N00000180",280,280,0
"N00000181",274,274,0
"N00000182",228,228,0
"N00000183",293,293,0
"N00000184",372,315,57
"N00000185",211,211,0
"N00000186",299,299,0
"N00000187",255,255,0
"N00000188",347,347,0
"N00000189",341,341,0
"N00000190",304,304,0
"N00000191",303,303,0
"N00000192",302,302,0
"N00000193",291,291,0
"N00000194",255,255,0
"N00000195",246,246,0
"N00000196",237,237,0
"N00000197",326,326,0
"N00000198",287,287,0
"N00000199",350,350,0
"N00000200",331,331,0
"N00000201",294,294,0
"N00000202",304,304,0
"N00000203",334,334,0
"N00000204",393,359,34
"N00000205",303,303,0
"N00000206",390,390,0
"N00000207",253,253,0
"N00000208",316,316,0
"N00000209",356,356,0
"N00000210",383,373,10
"N00000211",528,520,8
"N00000212",175,166,9
"N00000213",281,281,0
"N00000214",323,323,0
"N00000215",400,400,0
"N00000216",397,397,0
"N00000217",479,457,22
"N00000218",361,361,0
"N00000219",245,245,0
"N00000220",284,284,0
"N00000221",262,262,0
"N00000222",298,298,0
"N00000223",319,319,0
"N00000224",243,243,0
"N00000225",147,147,0
"N00000226",261,261,0
"N00000227",195,195,0
"N00000228",306,306,0
"N00000229",395,343,52
"N00000230",293,293,0
"N00000231",324,324,0
"N00000232",309,309,0
"N00000233",258,258,0
"N00000234",256,256,0
"N00000235",323,323,0
"N00000236",291,291,0
"N00000237",416,416,0
"N00000238",306,306,0
"N00000239",254,254,0
"N00000240",354,354,0
"N00000241",424,424,0
"N00000242",360,360,0
"N00000243",265,265,0
"N00000244",275,275,0
"N00000245",314,314,0
"N00000246",309,303,6
"N00000247",309,309,0
"N00000248",337,337,0
"N00000249",386,386,0
"N00000250",401,401,0
