"Geography_Code","NM_1531_1_0","NM_1531_1_1","NM_1531_1_10","NM_1531_1_100","NM_1531_1_101","NM_1531_1_11","NM_1531_1_12","NM_1531_1_13","NM_1531_1_14","NM_1531_1_15","NM_1531_1_16","NM_1531_1_17","NM_1531_1_18","NM_1531_1_19","NM_1531_1_2","NM_1531_1_20","NM_1531_1_21","NM_1531_1_22","NM_1531_1_23","NM_1531_1_24","NM_1531_1_25","NM_1531_1_26","NM_1531_1_27","NM_1531_1_28","NM_1531_1_29","NM_1531_1_3","NM_1531_1_30","NM_1531_1_31","NM_1531_1_32","NM_1531_1_33","NM_1531_1_34","NM_1531_1_35","NM_1531_1_36","NM_1531_1_37","NM_1531_1_38","NM_1531_1_39","NM_1531_1_4","NM_1531_1_40","NM_1531_1_41","NM_1531_1_42","NM_1531_1_43","NM_1531_1_44","NM_1531_1_45","NM_1531_1_46","NM_1531_1_47","NM_1531_1_48","NM_1531_1_49","NM_1531_1_5","NM_1531_1_50","NM_1531_1_51","NM_1531_1_52","NM_1531_1_53","NM_1531_1_54","NM_1531_1_55","NM_1531_1_56","NM_1531_1_57","NM_1531_1_58","NM_1531_1_59","NM_1531_1_6","NM_1531_1_60","NM_1531_1_61","NM_1531_1_62","NM_1531_1_63","NM_1531_1_64","NM_1531_1_65","NM_1531_1_66","NM_1531_1_67","NM_1531_1_68","NM_1531_1_69","NM_1531_1_7","NM_1531_1_70","NM_1531_1_71","NM_1531_1_72","NM_1531_1_73","NM_1531_1_74","NM_1531_1_75","NM_1531_1_76","NM_1531_1_77","NM_1531_1_78","NM_1531_1_79","NM_1531_1_8","NM_1531_1_80","NM_1531_1_81","NM_1531_1_82","NM_1531_1_83","NM_1531_1_84","NM_1531_1_85","NM_1531_1_86","NM_1531_1_87","NM_1531_1_88","NM_1531_1_89","NM_1531_1_9","NM_1531_1_90","NM_1531_1_91","NM_1531_1_92","NM_1531_1_93","NM_1531_1_94","NM_1531_1_95","NM_1531_1_96","NM_1531_1_97","NM_1531_1_98","NM_1531_1_99"
"N00000001",1113,40,20,0,0,12,22,8,7,6,5,10,6,3,36,7,14,26,37,29,34,47,40,35,32,34,54,39,37,41,20,25,30,23,25,21,40,22,23,11,11,8,8,3,3,5,3,27,4,3,3,1,1,1,0,3,0,1,33,1,0,1,0,1,1,0,0,0,0,28,0,0,0,0,0,1,1,1,0,0,24,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
"N00000002",351,8,6,0,0,5,1,3,5,7,3,2,6,3,4,4,1,2,3,3,3,3,3,3,5,7,5,6,8,10,1,4,6,6,2,6,4,9,8,11,4,3,1,3,4,3,6,6,5,6,7,1,5,6,3,2,4,6,6,3,4,5,5,1,6,3,7,6,3,8,4,3,3,3,1,0,1,2,3,4,2,0,2,1,1,2,0,1,1,1,0,7,0,0,1,0,0,0,0,0,0,0
"N00000003",237,0,7,0,0,3,6,13,8,3,5,4,5,2,1,1,0,3,0,2,1,2,0,2,1,0,1,1,1,1,4,1,2,2,0,1,3,3,3,5,8,8,3,5,6,3,10,1,5,6,4,5,7,2,1,2,5,2,2,3,4,1,3,5,0,2,4,3,1,0,2,2,1,3,0,2,2,0,1,1,3,2,2,1,1,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0
"N00000004",616,7,14,0,0,11,11,13,11,16,16,11,16,9,9,12,9,9,5,8,6,8,3,1,8,5,5,4,7,2,9,1,5,4,10,10,6,8,7,10,8,10,14,12,11,13,17,6,17,9,12,9,7,4,12,11,9,7,7,7,7,5,7,9,8,6,8,5,5,3,3,4,1,0,4,1,1,3,3,2,8,3,0,1,1,0,1,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0
"N00000005",374,6,3,0,0,11,2,9,5,3,8,6,5,4,6,5,1,4,7,6,5,5,8,1,4,3,3,2,4,4,3,4,1,3,5,4,8,4,11,15,8,5,9,4,6,8,7,3,7,4,3,7,5,3,1,7,6,6,9,3,4,8,3,7,3,2,3,5,3,7,3,3,3,2,2,1,1,1,1,2,3,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"N00000006",251,1,3,0,0,3,7,3,1,6,3,1,5,2,4,4,1,1,3,1,4,6,3,5,1,4,3,3,4,1,3,1,3,3,3,5,5,5,4,4,3,7,3,3,3,3,5,1,5,5,4,1,3,1,6,4,5,1,2,3,3,4,1,5,2,1,0,3,4,4,0,1,1,2,3,0,3,1,0,1,3,1,1,1,0,2,1,2,2,3,1,3,0,2,1,0,0,0,0,1,0,1
"N00000007",245,4,6,0,0,4,3,5,3,3,5,4,4,1,2,3,3,3,3,4,2,3,0,2,2,1,1,2,1,2,1,5,1,2,1,3,2,7,5,8,6,6,2,5,2,3,4,3,5,3,4,3,0,5,4,3,8,4,3,7,2,0,2,4,3,2,5,1,1,2,0,5,1,3,0,0,4,1,2,3,3,1,0,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0
"N00000008",288,4,2,0,0,1,1,6,1,1,4,3,1,3,1,2,4,1,4,5,6,5,2,6,5,6,3,6,7,6,4,2,3,3,5,4,4,4,8,6,3,3,7,7,9,3,2,0,6,6,2,3,6,5,5,4,2,5,2,4,5,4,2,4,3,3,3,2,2,2,1,0,2,1,3,4,5,1,2,0,3,2,1,1,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
"N00000009",727,18,12,0,0,13,8,4,4,11,6,8,7,5,10,11,4,9,5,6,8,8,15,11,15,11,14,16,20,18,24,13,18,17,16,10,11,16,9,13,10,11,8,10,14,9,9,13,7,3,10,6,11,5,7,11,4,6,13,6,8,7,8,4,5,6,4,4,3,11,3,1,4,4,4,5,3,7,1,2,8,0,2,3,0,2,3,2,1,2,0,10,0,2,0,1,0,0,0,0,0,0
"N00000010",242,4,3,0,0,4,1,3,3,2,1,5,2,2,0,4,3,3,3,3,3,3,6,2,5,6,3,0,1,0,5,1,1,2,4,1,2,4,4,5,5,1,1,5,5,5,2,5,3,2,9,2,1,4,3,2,2,3,5,3,2,5,6,3,1,3,4,4,3,7,1,1,3,2,0,1,2,1,3,1,1,4,0,2,2,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0
