"Geography_Code","NM_1538_1_0","NM_1538_1_1","NM_1538_1_10","NM_1538_1_11","NM_1538_1_12","NM_1538_1_13","NM_1538_1_14","NM_1538_1_15","NM_1538_1_16","NM_1538_1_17","NM_1538_1_18","NM_1538_1_19","NM_1538_1_2","NM_1538_1_20","NM_1538_1_21","NM_1538_1_22","NM_1538_1_23","NM_1538_1_24","NM_1538_1_25","NM_1538_1_26","NM_1538_1_3","NM_1538_1_4","NM_1538_1_5","NM_1538_1_6","NM_1538_1_7","NM_1538_1_8","NM_1538_1_9"
"N00000001",310,21,0,1,9,5,1,3,0,6,2,3,2,1,11,2,1,2,0,6,19,278,1,261,79,64,118
"N00000002",141,42,8,0,7,4,1,2,0,17,6,4,15,7,9,0,2,0,0,7,27,90,11,55,17,8,22
"N00000003",78,12,6,0,2,1,1,0,0,6,0,1,4,5,8,1,5,0,0,2,8,58,6,44,16,5,17
"N00000004",195,28,20,0,12,4,3,4,1,10,2,3,12,5,9,1,2,0,1,5,16,158,11,125,31,24,50
"N00000005",124,17,8,0,7,5,1,1,0,7,2,1,5,4,8,0,3,0,0,5,12,99,8,77,23,15,31
"N00000006",86,21,11,0,6,3,2,0,1,7,0,2,11,5,5,3,1,0,0,1,10,60,3,44,8,10,15
"N00000007",89,17,12,0,2,2,0,0,0,8,2,2,10,4,5,1,1,0,0,3,7,67,6,51,16,5,18
"N00000008",138,54,7,0,9,7,2,0,0,14,4,4,11,6,10,3,2,0,0,5,43,74,6,45,22,7,9
"N00000009",275,64,23,0,18,12,1,4,1,28,10,10,12,8,19,5,3,1,0,10,52,192,11,135,36,39,37
"N00000010",86,20,9,0,2,1,0,0,1,12,1,2,12,9,7,2,2,0,0,3,8,59,8,37,8,6,14
"N00000011",136,58,10,0,7,4,2,1,0,9,2,1,35,6,8,3,2,0,0,3,23,70,12,42,16,5,11
"N00000012",121,43,10,0,7,4,2,1,0,15,3,4,17,8,7,1,1,0,0,5,26,71,10,39,16,3,10
"N00000013",136,67,11,0,7,5,1,1,0,16,4,6,32,6,5,2,1,0,0,2,35,64,6,35,12,6,6
"N00000014",205,60,18,0,21,11,8,2,0,28,11,12,18,5,16,4,0,0,1,11,42,129,11,69,30,13,8
"N00000015",119,56,6,0,7,3,0,2,2,14,4,2,31,8,4,0,2,0,0,2,25,59,10,28,11,5,6
"N00000016",122,62,7,0,10,7,1,1,1,20,7,4,22,9,3,0,0,0,0,3,40,57,4,23,8,2,6
"N00000017",144,53,5,0,7,5,1,1,0,26,11,10,19,5,8,4,1,0,0,3,34,83,5,45,14,8,18
"N00000018",94,23,4,0,10,5,2,3,0,13,3,5,8,5,6,1,1,0,0,4,15,65,9,33,12,8,9
"N00000019",116,39,12,0,8,4,1,3,0,22,8,5,13,9,5,0,0,0,0,5,26,72,10,32,9,5,6
"N00000020",122,53,4,0,10,5,1,4,0,30,12,13,16,5,8,1,1,0,1,5,37,61,5,16,6,3,3
"N00000021",128,54,7,0,11,8,3,0,0,19,4,7,16,8,5,2,0,0,0,3,38,69,6,33,10,5,11
"N00000022",126,53,7,0,5,1,1,2,1,26,8,7,26,11,6,0,2,0,0,4,27,67,9,27,7,6,7
"N00000023",115,48,3,0,7,3,3,1,0,22,6,4,25,12,5,2,0,0,0,3,23,62,10,23,11,4,5
"N00000024",174,22,22,0,10,5,2,3,0,10,2,2,10,6,10,2,4,0,0,4,12,142,13,109,25,18,44
"N00000025",159,29,16,0,5,1,2,0,2,2,0,2,11,0,24,8,6,1,2,7,18,106,14,85,30,16,23
"N00000026",151,23,25,0,3,0,1,1,1,13,5,0,12,8,19,3,8,0,0,8,11,109,9,84,18,14,27
"N00000027",178,37,17,0,12,4,4,4,0,12,4,3,12,5,15,5,2,0,1,7,25,126,10,92,21,14,40
"N00000028",85,19,6,0,6,1,2,2,1,12,1,3,6,8,6,0,2,0,0,4,13,60,3,39,10,10,13
"N00000029",136,19,23,0,5,3,1,1,0,10,1,3,12,6,6,0,3,0,0,3,7,111,14,82,18,13,28
"N00000030",131,22,20,0,6,4,0,2,0,12,4,1,10,7,11,2,2,0,1,6,12,98,14,66,19,5,22
"N00000031",201,25,35,0,6,2,1,1,2,18,5,4,12,9,21,12,5,0,1,3,13,155,10,121,18,10,58
"N00000032",133,30,14,0,5,3,0,1,1,10,3,5,19,2,4,2,0,0,1,1,11,99,15,69,12,13,30
"N00000033",166,27,26,0,6,3,0,3,0,11,2,2,14,7,12,1,1,0,2,8,13,127,14,96,17,16,37
"N00000034",158,29,22,0,11,5,3,2,1,16,7,4,15,5,5,2,1,0,0,2,14,124,14,83,20,12,29
"N00000035",128,48,11,0,8,1,5,1,1,20,11,3,12,6,6,1,1,0,0,4,36,74,8,38,9,11,7
"N00000036",134,33,17,0,8,3,1,2,2,19,8,3,16,8,5,1,1,0,0,3,17,96,8,61,15,12,17
"N00000037",124,44,12,0,7,0,1,5,1,16,5,2,21,9,8,2,2,0,0,4,23,72,11,38,12,4,10
"N00000038",138,24,13,0,4,3,0,1,0,15,7,7,13,1,15,6,4,0,1,4,11,99,15,65,19,10,23
"N00000039",448,119,29,0,33,11,10,10,2,69,17,37,56,15,16,4,7,0,0,5,63,313,18,193,33,40,91
"N00000040",114,43,13,0,6,4,2,0,0,22,8,9,20,5,4,2,1,0,0,1,23,67,3,36,6,5,12
"N00000041",144,20,10,0,12,5,1,6,0,16,6,8,5,2,10,1,4,0,0,5,15,114,5,81,14,20,37
"N00000042",126,18,16,0,4,3,1,0,0,15,7,2,7,6,10,6,0,0,0,4,11,98,6,73,14,14,29
"N00000043",368,59,21,1,15,8,1,6,0,54,17,26,25,11,22,6,10,0,0,6,34,287,9,208,34,33,120
"N00000044",108,29,8,0,6,2,1,2,1,22,5,14,12,3,8,0,2,0,2,4,17,71,6,37,9,3,17
"N00000045",170,21,21,0,12,8,4,0,0,11,4,4,11,3,14,6,4,0,0,4,10,135,12,100,23,14,42
"N00000046",129,21,21,0,7,4,0,3,0,8,0,4,12,4,11,2,1,0,2,6,9,97,15,67,15,5,26
"N00000047",138,27,16,0,5,2,1,1,1,13,2,3,10,8,12,1,3,0,4,4,17,99,14,67,25,8,18
"N00000048",125,35,11,0,13,5,4,4,0,24,6,13,11,5,5,1,1,0,1,2,24,85,9,39,14,8,6
"N00000049",123,52,8,0,9,3,4,1,1,23,7,6,10,10,4,2,0,0,0,2,42,67,5,30,11,4,7
"N00000050",135,45,12,0,5,2,0,3,0,14,6,1,19,7,4,2,1,0,0,1,26,86,14,53,20,9,12
"N00000051",124,35,14,0,10,4,3,3,0,37,12,13,11,12,9,0,4,0,1,4,24,80,3,30,5,5,6
"N00000052",120,36,13,0,7,2,3,2,0,19,7,10,9,2,11,2,4,0,0,5,27,73,12,35,10,4,8
"N00000053",108,36,6,0,7,3,3,1,0,24,9,7,7,8,12,4,2,0,0,6,29,60,3,26,5,10,5
"N00000054",111,30,9,0,8,3,2,3,0,34,12,14,6,8,4,0,0,0,0,4,24,77,6,29,7,5,8
"N00000055",117,42,12,0,9,2,1,4,2,12,3,2,19,7,7,0,2,0,1,4,23,68,14,33,8,7,6
"N00000056",119,36,10,0,10,4,2,1,3,22,5,6,15,11,5,3,0,0,0,2,21,78,10,36,15,4,7
"N00000057",118,43,7,0,15,4,5,4,2,26,10,13,9,3,9,3,3,0,0,3,34,66,2,23,7,3,6
"N00000058",121,46,6,0,5,1,2,1,1,35,14,12,8,9,3,0,0,0,0,3,38,72,2,30,6,8,10
"N00000059",110,42,2,0,12,6,2,4,0,27,8,9,11,10,7,4,0,0,0,3,31,61,2,20,10,4,4
"N00000060",180,65,11,0,12,5,4,1,2,43,16,16,17,11,13,4,1,0,1,7,48,102,6,41,16,4,10
"N00000061",129,45,12,0,6,5,0,1,0,7,1,1,22,5,2,0,1,0,0,1,23,82,21,48,17,9,10
"N00000062",130,19,24,0,4,1,0,1,2,9,2,2,6,5,8,3,0,0,1,4,13,103,21,69,19,8,18
"N00000063",155,47,9,0,14,7,4,2,1,29,14,13,14,2,13,3,1,0,1,8,33,95,4,48,21,13,5
"N00000064",133,60,4,0,12,5,2,3,2,25,4,11,16,10,9,2,1,0,0,6,44,64,4,23,7,5,7
"N00000065",146,19,17,0,6,4,0,1,1,19,5,2,9,12,11,5,2,0,0,4,10,116,20,71,29,7,18
"N00000066",110,19,19,0,3,1,1,1,0,14,3,3,10,8,4,3,0,0,1,0,9,87,17,53,20,8,6
"N00000067",134,36,8,0,9,3,2,3,1,37,14,13,10,10,10,3,0,0,2,5,26,88,6,36,13,5,10
"N00000068",124,15,16,0,8,2,3,3,0,8,3,2,6,3,6,2,2,0,0,2,9,103,16,71,17,10,28
"N00000069",145,50,5,0,9,2,1,5,1,47,14,20,13,13,11,4,4,0,0,3,37,84,6,22,8,3,6
"N00000070",104,25,14,0,4,3,0,0,1,6,0,4,16,2,6,2,1,0,0,3,9,73,21,42,17,5,6
"N00000071",136,62,11,0,9,5,2,2,0,12,2,3,26,7,6,1,1,0,1,3,36,68,11,36,16,6,3
"N00000072",634,121,28,1,66,32,14,15,5,68,23,27,27,18,51,13,8,0,1,29,94,462,26,301,81,67,125
"N00000073",249,122,7,0,20,12,6,2,0,30,15,2,46,13,23,4,2,0,1,16,76,104,10,44,25,6,6
"N00000074",386,79,20,0,27,18,6,2,1,27,10,11,9,6,27,8,7,0,0,12,70,280,8,218,68,44,86
"N00000075",111,25,10,0,6,3,2,0,1,18,7,6,13,5,7,2,2,1,0,2,12,79,11,44,14,8,12
"N00000076",114,13,14,0,8,3,1,4,0,6,2,2,10,2,8,4,1,0,0,3,3,93,13,66,8,21,23
"N00000077",98,15,10,0,6,1,2,3,0,10,2,1,6,7,10,3,0,0,1,6,9,73,8,49,15,7,17
"N00000078",161,25,8,0,12,7,1,4,0,12,5,6,6,1,9,3,2,0,0,4,19,127,8,95,18,21,48
"N00000079",192,39,8,0,10,6,2,1,1,13,4,5,18,4,13,2,3,0,1,7,21,140,13,104,19,31,46
"N00000080",146,22,15,0,9,6,0,2,1,12,2,5,9,5,4,0,2,0,1,1,13,120,8,91,24,18,34
"N00000081",140,46,9,0,7,4,1,2,0,3,0,2,28,1,9,1,2,0,2,4,18,85,8,67,23,17,18
"N00000082",132,32,17,0,1,1,0,0,0,13,3,4,17,6,8,2,1,0,1,4,15,92,10,68,21,9,21
"N00000083",208,22,22,1,9,6,3,0,0,10,1,2,10,7,18,4,6,0,0,8,12,168,10,138,39,24,53
"N00000084",153,19,21,0,5,1,1,2,1,8,2,3,10,3,6,1,3,0,0,2,9,128,16,99,27,19,32
"N00000085",180,73,10,0,15,5,7,2,1,29,7,10,26,12,11,2,4,0,1,4,47,96,9,43,13,6,14
"N00000086",142,30,14,0,11,1,3,7,0,31,8,15,8,8,12,2,3,0,0,7,22,100,5,53,13,13,13
"N00000087",303,48,38,0,14,3,5,5,1,34,9,14,13,11,15,3,0,0,0,12,35,240,19,173,41,26,68
"N00000088",136,81,6,0,9,6,0,1,2,17,8,2,55,7,3,1,1,0,0,1,26,52,11,15,5,1,3
"N00000089",164,29,11,0,12,3,4,4,1,23,7,8,9,8,7,1,2,0,1,3,20,128,7,86,23,17,35
"N00000090",138,29,12,0,12,6,1,5,0,16,6,3,8,7,10,2,2,0,0,6,21,99,8,63,15,13,23
"N00000091",176,36,12,0,14,7,7,0,0,24,12,9,6,3,19,3,4,0,2,10,30,121,13,70,19,13,26
"N00000092",168,25,22,0,2,2,0,0,0,15,1,7,21,7,13,2,4,0,1,6,4,130,11,102,29,13,38
"N00000093",140,35,12,0,4,2,0,1,1,12,1,4,24,7,10,6,2,0,0,2,11,95,13,66,20,14,20
"N00000094",161,18,19,0,4,3,0,1,0,13,5,1,13,7,11,1,4,0,3,3,5,132,14,101,30,18,34
"N00000095",152,30,24,0,3,2,0,1,0,16,4,6,10,6,9,2,1,0,2,4,20,113,7,87,17,16,30
"N00000096",158,22,25,0,6,1,2,2,1,9,0,1,12,8,10,1,2,0,1,6,10,126,13,98,39,14,20
"N00000097",296,43,23,0,35,17,10,8,0,39,12,18,4,9,15,3,2,0,0,10,39,238,6,158,40,34,61
"N00000098",446,81,29,0,46,28,10,7,1,50,22,16,12,12,36,7,4,0,0,25,69,329,20,213,72,46,66
"N00000099",107,28,6,0,6,3,2,1,0,25,8,7,11,10,4,0,2,0,0,2,17,75,6,38,16,7,9
