"Geography_Code","NM_1544_1_0","NM_1544_1_1","NM_1544_1_10","NM_1544_1_11","NM_1544_1_12","NM_1544_1_13","NM_1544_1_14","NM_1544_1_15","NM_1544_1_16","NM_1544_1_17","NM_1544_1_18","NM_1544_1_19","NM_1544_1_2","NM_1544_1_20","NM_1544_1_21","NM_1544_1_22","NM_1544_1_23","NM_1544_1_24","NM_1544_1_25","NM_1544_1_26","NM_1544_1_27","NM_1544_1_28","NM_1544_1_29","NM_1544_1_3","NM_1544_1_30","NM_1544_1_31","NM_1544_1_32","NM_1544_1_33","NM_1544_1_34","NM_1544_1_35","NM_1544_1_36","NM_1544_1_37","NM_1544_1_38","NM_1544_1_39","NM_1544_1_4","NM_1544_1_40","NM_1544_1_41","NM_1544_1_42","NM_1544_1_43","NM_1544_1_44","NM_1544_1_45","NM_1544_1_46","NM_1544_1_47","NM_1544_1_48","NM_1544_1_49","NM_1544_1_5","NM_1544_1_50","NM_1544_1_51","NM_1544_1_52","NM_1544_1_53","NM_1544_1_54","NM_1544_1_55","NM_1544_1_6","NM_1544_1_7","NM_1544_1_8","NM_1544_1_9"
"N00000001",1113,1032,63,59,53,2,0,0,4,4,0,4,963,38,0,17,2,15,21,2,9,7,3,586,13,1,1,0,4,0,3,1,5,0,269,0,3,2,3,0,20,17,10,0,7,78,0,3,10,0,10,0,30,0,1,5
"N00000002",351,347,9,9,0,0,9,0,0,0,0,0,334,1,0,0,0,0,1,1,0,0,0,19,2,0,0,0,0,0,0,0,1,0,309,0,0,1,1,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,4
"N00000003",237,235,6,6,3,0,1,0,2,0,0,0,227,1,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"N00000004",616,604,2,2,1,0,1,0,0,0,0,0,594,4,0,0,0,0,4,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,8,8,0,3,5,5,0,0,0,0,0,0,2,0,1,7
"N00000005",374,372,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,345,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,9
"N00000006",251,238,3,3,0,3,0,0,0,0,0,0,233,8,0,2,0,2,6,0,5,0,1,7,1,0,0,0,0,0,0,0,1,0,226,1,0,0,0,0,3,3,0,1,2,0,0,0,1,1,0,0,0,0,0,2
"N00000007",245,240,10,10,6,0,0,0,4,0,0,0,228,1,0,0,0,0,1,0,0,1,0,8,4,2,2,0,0,0,0,0,0,0,218,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
"N00000008",288,281,15,15,1,3,7,0,4,0,0,0,262,1,0,0,0,0,1,0,0,0,1,18,4,0,0,0,2,0,2,0,1,0,240,0,0,1,1,0,0,0,0,0,0,3,0,0,2,2,0,0,1,0,0,4
"N00000009",727,714,24,23,2,0,10,4,7,1,0,1,682,1,0,0,0,0,1,0,0,0,1,33,5,0,0,0,0,0,0,0,5,0,642,2,3,0,0,0,3,3,0,3,0,7,0,0,4,3,1,0,0,0,0,8
"N00000010",242,239,7,6,0,1,3,0,2,1,0,1,230,1,0,0,0,0,1,0,1,0,0,7,1,0,0,0,0,0,0,0,1,0,220,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,2
"N00000011",293,288,8,8,2,0,5,0,1,0,0,0,278,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,1,1,0,0,0,0,260,0,0,0,2,0,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,2
"N00000012",264,261,7,7,2,0,3,0,2,0,0,0,252,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,2,1,0,0,1,3,0,1,1,1,0,0,1,0,0,2
"N00000013",268,263,8,8,0,1,3,0,4,0,0,0,250,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,1,0,0,0,236,0,0,0,0,0,3,3,1,2,0,2,0,0,1,1,0,0,0,0,0,5
"N00000014",460,453,23,22,1,0,13,0,8,1,0,1,422,3,0,0,0,0,3,0,1,2,0,27,2,0,0,0,0,0,0,0,2,0,386,1,0,1,0,0,2,2,0,1,1,8,0,0,0,0,0,0,1,0,1,7
"N00000015",226,224,3,3,1,0,0,0,2,0,0,0,218,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,204,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,3
"N00000016",223,219,16,16,0,2,5,1,8,0,0,0,199,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,2,0,2,0,0,0,182,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,4
"N00000017",340,336,7,5,2,0,2,0,1,2,1,1,328,2,0,2,1,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,315,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1
"N00000018",229,224,8,8,1,1,4,0,2,0,0,0,215,2,0,0,0,0,2,0,2,0,0,11,3,0,0,0,0,0,0,0,0,0,202,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"N00000019",261,254,5,5,1,0,3,0,1,0,0,0,244,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,1,0,1,0,5,0,230,0,3,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,5
"N00000020",236,232,3,3,1,0,2,0,0,0,0,0,223,3,0,0,0,0,3,0,3,0,0,6,1,0,0,0,1,0,1,0,0,0,212,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,6
"N00000021",269,267,9,9,1,0,0,0,8,0,0,0,257,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,1,1,1,0,0,3,0,0,1,1,0,0,0,0,0,1
"N00000022",269,265,11,11,0,0,9,0,2,0,0,0,249,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,238,0,0,0,2,0,2,2,0,2,0,4,0,0,0,0,0,0,1,0,0,5
"N00000023",218,212,4,4,0,0,3,0,1,0,0,0,204,4,0,0,0,0,4,0,4,0,0,6,2,0,0,0,1,0,1,0,0,0,194,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
"N00000024",533,528,0,0,0,0,0,0,0,0,0,0,521,3,0,0,0,0,3,1,2,0,0,29,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7
"N00000025",460,453,3,2,2,0,0,0,0,1,0,1,444,1,0,0,0,0,1,0,0,1,0,18,1,0,0,0,0,0,0,0,1,0,423,1,0,0,0,0,4,4,0,2,2,3,0,0,1,0,1,0,0,0,1,5
"N00000026",466,465,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"N00000027",540,535,8,4,1,0,0,0,3,4,0,4,520,1,0,1,1,0,0,0,0,0,0,14,1,1,0,1,0,0,0,0,0,0,502,0,0,0,0,0,2,2,0,1,1,3,0,0,1,1,0,0,1,0,0,7
"N00000028",236,235,1,1,0,0,0,0,1,0,0,0,231,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,216,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3
"N00000029",403,396,3,1,0,0,0,0,1,2,0,2,389,1,0,1,1,0,0,0,0,0,0,18,3,0,0,0,2,0,2,0,1,0,367,0,1,0,0,0,2,2,1,0,1,4,0,0,1,1,0,0,0,0,0,4
"N00000030",375,367,4,2,0,0,0,0,2,2,0,2,355,1,0,1,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,349,0,0,0,1,0,5,5,0,5,0,1,0,0,1,1,0,0,0,0,0,8
"N00000031",707,702,3,3,1,0,0,0,2,0,0,0,690,1,0,0,0,0,1,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,4,4,0,3,1,3,0,0,0,0,0,0,0,0,0,9
"N00000032",386,383,3,3,2,0,0,0,1,0,0,0,376,1,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,4
"N00000033",498,491,2,2,0,0,0,0,2,0,0,0,484,4,0,2,0,2,2,0,1,0,1,17,1,0,0,0,1,0,1,0,0,0,462,0,0,0,0,0,1,1,0,1,0,3,0,0,1,0,1,0,2,0,0,5
"N00000034",474,464,15,14,1,9,4,0,0,1,0,1,444,2,0,1,1,0,1,0,1,0,0,18,1,0,0,0,1,0,0,1,0,0,423,0,0,0,0,0,3,3,0,0,3,2,0,0,4,4,0,0,1,0,0,5
"N00000035",291,287,23,23,0,13,2,0,8,0,0,0,264,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,2,2,0,0,2,3,0,0,2,2,0,0,1,0,0,0
"N00000036",345,335,2,2,0,0,0,0,2,0,0,0,328,3,0,0,0,0,3,0,0,3,0,12,3,0,0,0,0,0,0,0,0,0,313,0,0,0,3,0,2,1,0,0,1,2,1,0,2,2,0,0,1,0,0,5
"N00000037",285,281,2,2,2,0,0,0,0,0,0,0,277,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,3,3,0,3,0,2,0,0,0,0,0,0,0,0,0,2
"N00000038",406,403,3,3,0,1,1,0,1,0,0,0,396,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,384,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
"N00000039",1262,1236,6,6,2,0,1,0,3,0,0,0,1210,4,1,2,0,2,1,0,1,0,0,57,9,0,0,0,1,0,1,0,7,0,1141,7,0,0,1,0,8,7,0,6,1,6,0,1,5,2,3,0,5,1,1,19
