"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000001",1113,1084,14,4,11
"N00000002",351,324,17,3,7
"N00000003",237,193,28,4,12
"N00000004",616,530,61,11,14
"N00000005",374,333,31,7,3
"N00000006",251,217,23,8,3
"N00000007",245,222,15,2,6
"N00000008",288,254,22,7,5
"N00000009",727,649,47,13,18
"N00000010",242,227,11,2,2
"N00000011",293,258,16,7,12
"N00000012",264,237,17,5,5
"N00000013",268,240,16,6,6
"N00000014",460,416,23,7,14
"N00000015",226,187,19,5,15
"N00000016",223,183,26,5,9
"N00000017",340,305,21,3,11
"N00000018",229,200,14,7,8
"N00000019",261,230,14,7,10
"N00000020",236,215,9,5,7
"N00000021",269,232,17,9,11
"N00000022",269,234,13,10,12
"N00000023",218,184,12,5,17
"N00000024",533,465,45,10,13
"N00000025",460,377,52,9,22
"N00000026",466,409,35,12,10
"N00000027",540,462,50,19,9
"N00000028",236,214,16,4,2
"N00000029",403,358,36,3,6
"N00000030",375,316,40,8,11
"N00000031",707,635,45,9,18
"N00000032",386,330,36,9,11
"N00000033",498,450,40,2,6
"N00000034",474,419,38,7,10
"N00000035",291,249,27,6,9
"N00000036",345,307,25,5,8
"N00000037",285,252,14,5,14
"N00000038",406,335,37,10,24
"N00000039",1262,1128,78,21,35
"N00000040",265,239,10,4,12
"N00000041",462,411,29,12,10
"N00000042",410,351,31,11,17
"N00000043",1245,1097,92,17,39
"N00000044",312,274,19,12,7
"N00000045",515,449,43,9,14
"N00000046",394,350,31,9,4
"N00000047",374,306,51,6,11
"N00000048",304,276,11,6,11
"N00000049",254,231,13,4,6
"N00000050",299,254,32,7,6
"N00000051",313,262,24,8,19
"N00000052",309,269,18,13,9
"N00000053",261,232,11,6,12
"N00000054",266,238,5,7,16
"N00000055",266,231,13,7,15
"N00000056",283,256,11,5,11
"N00000057",279,268,5,1,5
"N00000058",266,249,8,3,6
"N00000059",226,201,15,5,5
"N00000060",394,354,23,4,13
"N00000061",273,251,12,5,5
"N00000062",351,300,33,4,14
"N00000063",431,396,20,4,11
"N00000064",279,246,14,7,12
"N00000065",389,328,36,6,19
"N00000066",264,232,17,6,9
"N00000067",316,281,13,5,17
"N00000068",371,314,36,4,17
"N00000069",334,299,8,17,10
"N00000070",243,210,23,2,8
"N00000071",283,253,13,7,10
"N00000072",1753,1584,109,31,29
"N00000073",521,479,21,11,10
"N00000074",1047,950,54,16,27
"N00000075",410,365,21,4,20
"N00000076",344,304,26,6,8
"N00000077",275,246,15,4,10
"N00000078",488,457,23,2,6
"N00000079",564,495,46,16,7
"N00000080",424,348,60,9,7
"N00000081",339,290,29,8,12
"N00000082",342,280,53,4,5
"N00000083",650,575,51,8,16
"N00000084",456,407,31,6,12
"N00000085",437,384,29,3,21
"N00000086",395,368,16,1,10
"N00000087",913,817,71,8,17
"N00000088",216,190,12,7,7
"N00000089",478,427,27,10,14
"N00000090",392,350,25,10,7
"N00000091",476,430,24,6,16
