"Geography_Code","NM_1546_1_0","NM_1546_1_1","NM_1546_1_2","NM_1546_1_3","NM_1546_1_4","NM_1546_1_5"
"N00000001",1113,749,321,39,4,0
"N00000002",351,207,88,41,12,3
"N00000003",237,123,74,30,8,2
"N00000004",616,340,196,71,7,2
"N00000005",374,204,123,39,7,1
"N00000006",251,143,77,25,5,1
"N00000007",245,125,94,22,2,2
"N00000008",288,132,98,48,7,3
"N00000009",727,429,205,81,11,1
"N00000010",242,113,92,33,4,0
"N00000011",293,118,83,63,23,6
"N00000012",264,91,109,54,7,3
"N00000013",268,109,87,54,16,2
"N00000014",460,180,176,79,19,6
"N00000015",226,88,58,47,24,9
"N00000016",223,76,66,55,22,4
"N00000017",340,165,103,57,11,4
"N00000018",229,100,85,37,6,1
"N00000019",261,97,95,49,14,6
"N00000020",236,79,93,44,16,4
"N00000021",269,92,94,62,17,4
"N00000022",269,91,101,62,11,4
"N00000023",218,53,98,41,23,3
"N00000024",533,294,175,54,7,3
"N00000025",460,222,150,74,9,5
"N00000026",466,248,150,53,13,2
"N00000027",540,301,175,48,13,3
"N00000028",236,94,115,22,5,0
"N00000029",403,211,143,38,10,1
"N00000030",375,180,129,57,8,1
"N00000031",707,399,213,63,26,6
"N00000032",386,202,118,45,18,3
"N00000033",498,255,177,54,10,2
"N00000034",474,233,148,59,24,10
"N00000035",291,104,104,65,13,5
"N00000036",345,172,120,39,13,1
"N00000037",285,127,89,46,17,6
"N00000038",406,233,92,55,18,8
"N00000039",1262,698,378,137,40,9
"N00000040",265,125,83,41,13,3
"N00000041",462,265,126,57,9,5
"N00000042",410,226,126,40,18,0
"N00000043",1245,690,363,146,37,9
"N00000044",312,150,102,46,14,0
"N00000045",515,276,173,47,17,2
"N00000046",394,224,109,50,10,1
"N00000047",374,161,142,62,9,0
"N00000048",304,125,109,56,13,1
"N00000049",254,96,98,43,15,2
"N00000050",299,136,105,43,8,7
"N00000051",313,149,86,49,18,11
"N00000052",309,114,125,49,11,10
"N00000053",261,107,93,39,16,6
"N00000054",266,132,83,37,10,4
"N00000055",266,98,94,57,16,1
"N00000056",283,115,90,65,7,6
"N00000057",279,114,98,48,17,2
"N00000058",266,93,107,49,15,2
"N00000059",226,101,67,43,13,2
"N00000060",394,142,139,78,31,4
"N00000061",273,103,114,37,19,0
"N00000062",351,177,119,46,7,2
"N00000063",431,142,130,121,32,6
"N00000064",279,99,97,54,23,6
"N00000065",389,172,147,53,14,3
"N00000066",264,109,104,41,8,2
"N00000067",316,119,103,65,23,6
"N00000068",371,174,143,40,9,5
"N00000069",334,134,104,67,22,7
"N00000070",243,92,99,44,7,1
"N00000071",283,92,97,80,10,4
"N00000072",1753,1000,537,147,52,17
"N00000073",521,170,161,155,26,9
"N00000074",1047,639,314,67,22,5
"N00000075",410,185,153,55,15,2
"N00000076",344,175,125,34,10,0
"N00000077",275,152,74,39,10,0
"N00000078",488,290,155,35,8,0
"N00000079",564,348,177,31,7,1
"N00000080",424,230,140,49,5,0
"N00000081",339,175,101,47,11,5
"N00000082",342,186,106,37,11,2
