"Geography_Code","NM_1549_1_0","NM_1549_1_1","NM_1549_1_10","NM_1549_1_11","NM_1549_1_2","NM_1549_1_3","NM_1549_1_4","NM_1549_1_5","NM_1549_1_6","NM_1549_1_7","NM_1549_1_8","NM_1549_1_9"
"N00000001",310,310,0,0,305,72,212,21,5,5,0,0
"N00000002",141,141,0,0,119,68,7,44,22,21,1,0
"N00000003",78,78,0,0,77,75,0,2,1,0,1,0
"N00000004",195,195,2,0,193,148,42,3,0,0,0,0
"N00000005",124,124,0,0,124,116,4,4,0,0,0,0
"N00000006",86,86,1,0,85,74,8,3,0,0,0,0
"N00000007",89,89,0,0,86,79,7,0,3,3,0,0
"N00000008",138,138,0,0,123,27,28,68,15,11,4,0
"N00000009",275,275,1,0,238,123,58,57,36,35,1,0
"N00000010",86,86,0,0,86,60,12,14,0,0,0,0
"N00000011",136,136,0,0,112,27,13,72,24,23,1,0
"N00000012",121,121,0,0,101,4,11,86,20,20,0,0
"N00000013",136,136,0,0,101,25,12,64,35,34,1,0
"N00000014",205,205,0,0,183,10,40,133,22,22,0,0
"N00000015",119,119,0,0,91,6,17,68,28,27,1,0
"N00000016",122,122,0,0,66,6,5,55,56,56,0,0
"N00000017",144,144,0,0,140,29,20,91,4,3,1,0
"N00000018",94,94,0,0,92,5,41,46,2,1,1,0
"N00000019",116,116,0,0,110,2,30,78,6,6,0,0
"N00000020",122,122,0,0,122,7,14,101,0,0,0,0
"N00000021",128,128,0,0,102,11,10,81,26,25,1,0
"N00000022",126,126,0,0,126,9,19,98,0,0,0,0
"N00000023",115,115,0,0,114,11,36,67,1,1,0,0
"N00000024",174,174,1,0,172,157,10,5,1,1,0,0
"N00000025",159,159,3,0,156,152,3,1,0,0,0,0
"N00000026",151,151,3,0,147,136,6,5,1,1,0,0
"N00000027",178,178,1,0,176,109,42,25,1,1,0,0
"N00000028",85,85,0,0,81,58,5,18,4,4,0,0
"N00000029",136,136,4,0,131,122,8,1,1,1,0,0
"N00000030",131,131,2,0,128,118,8,2,1,1,0,0
"N00000031",201,201,1,0,200,174,24,2,0,0,0,0
"N00000032",133,133,0,0,133,69,61,3,0,0,0,0
"N00000033",166,166,1,0,164,130,32,2,1,1,0,0
"N00000034",158,158,0,0,155,96,56,3,3,2,1,0
"N00000035",128,128,0,0,124,16,64,44,4,4,0,0
"N00000036",134,134,0,0,132,37,90,5,2,1,0,1
"N00000037",124,124,0,0,116,20,74,22,8,8,0,0
"N00000038",138,138,0,0,137,89,42,6,1,1,0,0
"N00000039",448,448,0,0,390,153,147,90,58,54,2,2
"N00000040",114,114,0,0,97,8,29,60,17,17,0,0
"N00000041",144,144,0,0,141,70,46,25,3,3,0,0
"N00000042",126,126,0,0,125,70,41,14,1,1,0,0
"N00000043",368,368,0,0,345,186,100,59,23,15,2,6
"N00000044",108,108,0,0,106,14,72,20,2,2,0,0
"N00000045",170,170,0,0,170,138,16,16,0,0,0,0
"N00000046",129,129,1,0,128,109,17,2,0,0,0,0
"N00000047",138,138,1,0,137,100,33,4,0,0,0,0
"N00000048",125,125,0,0,115,9,26,80,10,10,0,0
"N00000049",123,123,0,0,119,14,29,76,4,4,0,0
"N00000050",135,135,0,0,134,64,13,57,1,1,0,0
"N00000051",124,124,0,0,123,15,18,90,1,1,0,0
"N00000052",120,120,0,0,119,32,23,64,1,1,0,0
"N00000053",108,108,0,0,88,6,16,66,20,20,0,0
"N00000054",111,111,0,0,111,6,10,95,0,0,0,0
"N00000055",117,117,0,0,117,6,27,84,0,0,0,0
"N00000056",119,119,0,0,112,5,12,95,7,7,0,0
"N00000057",118,118,0,0,101,5,5,91,17,16,1,0
"N00000058",121,121,1,0,109,11,7,91,11,10,1,0
"N00000059",110,110,0,0,79,4,6,69,31,31,0,0
"N00000060",180,180,0,0,151,6,12,133,29,29,0,0
"N00000061",129,129,0,0,117,71,24,22,12,11,1,0
"N00000062",130,130,0,0,130,121,3,6,0,0,0,0
"N00000063",155,155,0,0,132,31,17,84,23,21,2,0
"N00000064",133,133,0,0,88,10,19,59,45,44,1,0
"N00000065",146,146,0,0,146,60,85,1,0,0,0,0
"N00000066",110,110,0,0,110,44,61,5,0,0,0,0
"N00000067",134,134,0,0,122,13,30,79,12,12,0,0
"N00000068",124,124,0,0,123,85,35,3,1,1,0,0
"N00000069",145,145,0,0,120,6,15,99,25,24,1,0
"N00000070",104,104,0,0,104,99,2,3,0,0,0,0
"N00000071",136,136,0,0,124,33,23,68,12,12,0,0
"N00000072",634,634,0,0,620,262,198,160,14,12,2,0
"N00000073",249,249,0,0,176,12,37,127,73,64,7,2
"N00000074",386,386,0,0,377,165,90,122,9,8,0,1
"N00000075",111,111,0,0,105,29,63,13,6,5,1,0
"N00000076",114,114,0,0,114,54,54,6,0,0,0,0
"N00000077",98,98,0,0,98,46,52,0,0,0,0,0
"N00000078",161,161,0,0,159,57,99,3,2,2,0,0
"N00000079",192,192,0,0,191,172,17,2,1,0,1,0
"N00000080",146,146,0,0,146,98,46,2,0,0,0,0
"N00000081",140,140,0,0,138,60,39,39,2,0,1,1
"N00000082",132,132,0,0,131,124,6,1,1,1,0,0
"N00000083",208,208,1,0,207,193,9,5,0,0,0,0
"N00000084",153,153,1,0,152,140,11,1,0,0,0,0
"N00000085",180,179,0,1,134,45,44,45,45,31,6,8
"N00000086",142,142,0,0,138,13,100,25,4,3,1,0
"N00000087",303,303,0,0,301,220,53,28,2,1,1,0
"N00000088",136,136,0,0,107,8,34,65,29,29,0,0
"N00000089",164,164,0,0,164,69,84,11,0,0,0,0
"N00000090",138,138,0,0,137,59,70,8,1,0,0,1
"N00000091",176,176,0,0,165,60,84,21,11,2,0,9
"N00000092",168,168,1,0,166,160,4,2,1,0,1,0
"N00000093",140,140,0,0,140,104,24,12,0,0,0,0
"N00000094",161,161,0,0,161,155,4,2,0,0,0,0
"N00000095",152,152,1,0,151,135,13,3,0,0,0,0
"N00000096",158,158,3,0,154,147,5,2,1,1,0,0
"N00000097",296,296,0,0,271,66,160,45,25,23,2,0
