"Geography_Code","NM_1552_1_0","NM_1552_1_1","NM_1552_1_10","NM_1552_1_11","NM_1552_1_12","NM_1552_1_13","NM_1552_1_2","NM_1552_1_3","NM_1552_1_4","NM_1552_1_5","NM_1552_1_6","NM_1552_1_7","NM_1552_1_8","NM_1552_1_9"
"N00000001",310,26,186,1,59,5,5,21,0,9,2,7,270,24
"N00000002",141,113,1,1,0,5,43,70,0,8,8,0,15,13
"N00000003",78,71,0,2,1,2,39,32,0,0,0,0,5,2
"N00000004",195,167,2,2,0,6,72,95,0,4,3,1,18,14
"N00000005",124,113,0,1,0,1,38,75,0,0,0,0,10,9
"N00000006",86,76,1,1,1,0,38,38,0,0,0,0,10,7
"N00000007",89,69,4,1,0,6,43,26,0,1,0,1,13,8
"N00000008",138,97,0,1,1,4,36,61,1,2,2,0,34,32
"N00000009",275,228,0,1,1,4,83,145,0,1,1,0,42,40
"N00000010",86,74,0,4,1,2,53,21,0,0,0,0,10,5
"N00000011",136,85,0,1,0,7,47,38,2,23,23,0,19,18
"N00000012",121,90,0,1,0,2,49,41,1,14,14,0,14,13
"N00000013",136,80,0,2,0,6,50,30,1,9,9,0,40,38
"N00000014",205,125,0,4,1,5,42,83,0,29,23,6,46,41
"N00000015",119,58,0,2,1,2,36,22,1,42,41,1,16,13
"N00000016",122,60,0,2,0,4,29,31,0,31,31,0,27,25
"N00000017",144,79,0,1,0,3,27,52,2,48,47,1,12,11
"N00000018",94,74,1,1,0,0,25,49,0,1,1,0,19,17
"N00000019",116,69,2,0,0,1,36,33,0,28,23,5,18,16
"N00000020",122,42,0,1,0,3,21,21,1,62,61,1,14,13
"N00000021",128,72,0,1,0,2,31,41,3,23,23,0,28,27
"N00000022",126,73,0,1,0,3,33,40,1,30,30,0,19,18
"N00000023",115,60,0,1,0,3,33,27,0,41,41,0,11,10
"N00000024",174,158,0,1,0,5,71,87,1,1,1,0,9,8
"N00000025",159,147,0,2,0,5,80,67,0,1,1,0,6,4
"N00000026",151,139,0,0,0,4,82,57,0,2,2,0,6,6
"N00000027",178,151,0,1,0,3,72,79,3,0,0,0,21,20
"N00000028",85,79,0,0,0,0,27,52,1,0,0,0,5,5
"N00000029",136,125,0,2,0,4,76,49,0,1,1,0,6,4
"N00000030",131,120,0,2,0,3,72,48,0,0,0,0,8,6
"N00000031",201,178,1,2,0,2,92,86,2,4,4,0,15,12
"N00000032",133,117,0,1,0,4,64,53,1,0,0,0,11,10
"N00000033",166,145,0,1,1,7,73,72,0,1,1,0,13,11
"N00000034",158,132,0,3,0,5,57,75,0,5,5,0,16,13
"N00000035",128,64,0,2,0,4,30,34,0,39,39,0,21,19
"N00000036",134,91,0,1,3,2,41,50,0,19,19,0,22,18
"N00000037",124,109,0,0,0,2,50,59,2,4,4,0,7,7
"N00000038",138,113,1,4,0,3,48,65,0,5,0,5,17,12
"N00000039",448,320,3,7,2,8,82,238,8,65,34,31,47,35
"N00000040",114,61,0,2,0,10,15,46,1,31,31,0,11,9
"N00000041",144,121,0,2,0,2,20,101,2,3,3,0,16,14
"N00000042",126,116,0,2,0,1,32,84,0,1,1,0,8,6
"N00000043",368,294,1,3,4,3,65,229,3,34,21,13,34,26
"N00000044",108,78,0,2,1,2,25,53,3,16,2,14,9,6
"N00000045",170,151,1,1,0,4,73,78,0,2,2,0,13,11
"N00000046",129,114,0,0,1,3,73,41,0,6,6,0,6,5
"N00000047",138,118,0,2,0,2,75,43,0,4,4,0,14,12
"N00000048",125,69,0,3,1,2,33,36,1,23,23,0,30,26
"N00000049",123,64,1,4,0,3,30,34,0,30,30,0,26,21
"N00000050",135,101,0,1,0,8,60,41,0,5,4,1,21,20
"N00000051",124,55,0,0,0,6,16,39,1,58,58,0,4,4
"N00000052",120,65,0,2,0,8,31,34,1,35,34,1,11,9
"N00000053",108,54,0,1,0,3,17,37,2,14,14,0,35,34
"N00000054",111,64,0,1,0,2,19,45,2,25,25,0,18,17
"N00000055",117,87,0,0,0,1,44,43,5,8,8,0,16,16
"N00000056",119,79,0,1,0,1,44,35,1,21,21,0,17,16
"N00000057",118,40,0,0,0,2,15,25,0,58,58,0,18,18
"N00000058",121,58,0,2,0,4,25,33,0,40,40,0,19,17
"N00000059",110,41,0,0,0,4,18,23,0,48,47,1,17,17
"N00000060",180,79,0,1,0,5,24,55,1,67,66,1,28,27
"N00000061",129,106,0,0,0,4,68,38,0,11,11,0,8,8
"N00000062",130,116,0,0,0,2,71,45,0,4,4,0,8,8
"N00000063",155,75,0,2,0,1,27,48,0,48,48,0,31,29
"N00000064",133,35,0,0,0,8,10,25,1,75,75,0,14,14
"N00000065",146,130,0,3,0,1,65,65,5,3,3,0,7,4
"N00000066",110,98,0,1,0,4,54,44,0,3,3,0,5,4
"N00000067",134,65,0,1,0,2,26,39,0,53,53,0,14,13
"N00000068",124,113,0,1,1,1,62,51,0,1,1,0,9,7
"N00000069",145,42,0,1,0,3,17,25,0,87,81,6,13,12
"N00000070",104,96,0,2,0,2,67,29,0,0,0,0,6,4
"N00000071",136,85,2,3,0,12,53,32,1,10,10,0,28,23
"N00000072",634,492,0,6,0,9,108,384,4,36,35,1,93,87
"N00000073",249,121,0,2,5,7,46,75,1,42,16,26,78,71
"N00000074",386,317,0,1,1,5,60,257,6,7,1,6,51,49
"N00000075",111,86,0,2,0,2,44,42,2,4,0,4,17,15
"N00000076",114,99,0,0,0,1,36,63,0,0,0,0,14,14
"N00000077",98,89,0,1,0,2,32,57,0,0,0,0,7,6
"N00000078",161,146,0,0,0,0,32,114,0,1,1,0,14,14
"N00000079",192,172,0,2,0,6,78,94,0,1,0,1,13,11
