"Geography_Code","NM_1553_1_0","NM_1553_1_1","NM_1553_1_2","NM_1553_1_3","NM_1553_1_4","NM_1553_1_5","NM_1553_1_6","NM_1553_1_7","NM_1553_1_8"
"N00000001",310,21,91,69,86,32,9,2,0
"N00000002",141,42,46,17,21,9,5,1,0
"N00000003",78,12,27,12,11,10,5,1,0
"N00000004",195,28,53,33,44,24,7,4,2
"N00000005",124,17,43,15,28,13,7,1,0
"N00000006",86,21,18,20,16,8,2,1,0
"N00000007",89,17,28,17,18,5,4,0,0
"N00000008",138,54,46,21,9,5,3,0,0
"N00000009",275,64,77,60,46,23,5,0,0
"N00000010",86,20,26,15,14,7,3,0,1
"N00000011",136,58,41,14,10,9,3,0,1
"N00000012",121,43,41,18,12,6,0,1,0
"N00000013",136,67,32,19,13,2,3,0,0
"N00000014",205,60,68,53,15,9,0,0,0
"N00000015",119,56,37,13,10,1,2,0,0
"N00000016",122,62,35,14,8,2,0,1,0
"N00000017",144,53,37,20,22,8,3,1,0
"N00000018",94,23,36,14,16,2,3,0,0
"N00000019",116,39,36,24,11,2,4,0,0
"N00000020",122,53,39,18,9,3,0,0,0
"N00000021",128,54,36,15,18,4,1,0,0
"N00000022",126,53,34,19,13,4,2,1,0
"N00000023",115,48,44,14,5,4,0,0,0
"N00000024",174,22,51,36,34,22,8,1,0
"N00000025",159,29,50,27,32,11,6,2,2
"N00000026",151,23,37,34,30,22,4,1,0
"N00000027",178,37,46,30,31,18,11,4,1
"N00000028",85,19,22,16,19,6,2,1,0
"N00000029",136,19,43,23,28,21,2,0,0
"N00000030",131,22,50,17,21,13,4,3,1
"N00000031",201,25,43,34,47,28,16,4,4
"N00000032",133,30,35,14,33,15,5,1,0
"N00000033",166,27,44,36,34,16,7,2,0
"N00000034",158,29,50,31,28,16,4,0,0
"N00000035",128,48,33,23,17,4,2,0,1
"N00000036",134,33,41,26,23,8,2,0,1
"N00000037",124,44,38,17,15,7,2,1,0
"N00000038",138,24,45,23,19,20,4,1,2
"N00000039",448,119,88,81,96,49,11,3,1
"N00000040",114,43,22,22,23,4,0,0,0
"N00000041",144,20,33,24,39,22,4,2,0
"N00000042",126,18,34,17,27,20,8,0,2
"N00000043",368,59,80,47,97,64,16,3,2
"N00000044",108,29,24,21,14,12,5,1,2
"N00000045",170,21,49,34,42,19,4,1,0
"N00000046",129,21,38,17,27,20,4,2,0
"N00000047",138,27,53,28,19,6,5,0,0
"N00000048",125,35,40,24,18,6,0,1,1
"N00000049",123,52,31,22,16,2,0,0,0
"N00000050",135,45,47,19,17,7,0,0,0
"N00000051",124,35,34,29,14,6,5,1,0
"N00000052",120,36,31,21,16,12,4,0,0
"N00000053",108,36,31,21,10,9,1,0,0
"N00000054",111,30,35,22,22,0,2,0,0
"N00000055",117,42,34,23,7,8,2,1,0
"N00000056",119,36,38,28,11,6,0,0,0
"N00000057",118,43,27,25,11,9,3,0,0
"N00000058",121,46,31,25,13,5,1,0,0
"N00000059",110,42,36,20,9,2,1,0,0
"N00000060",180,65,51,37,21,4,2,0,0
"N00000061",129,45,48,21,7,7,1,0,0
"N00000062",130,19,48,31,21,9,1,0,1
"N00000063",155,47,50,36,12,9,1,0,0
"N00000064",133,60,31,22,14,3,1,2,0
"N00000065",146,19,64,26,24,10,3,0,0
"N00000066",110,19,48,27,13,2,1,0,0
"N00000067",134,36,47,28,14,8,1,0,0
"N00000068",124,15,39,19,37,11,3,0,0
"N00000069",145,50,42,26,17,7,2,1,0
"N00000070",104,25,43,17,16,1,2,0,0
"N00000071",136,62,42,19,11,1,1,0,0
"N00000072",634,121,187,123,138,56,8,0,1
"N00000073",249,122,84,25,11,7,0,0,0
"N00000074",386,79,114,76,83,27,5,1,1
"N00000075",111,25,39,23,15,9,0,0,0
"N00000076",114,13,30,29,29,10,3,0,0
"N00000077",98,15,34,19,19,9,1,0,1
"N00000078",161,25,41,29,40,23,2,1,0
"N00000079",192,39,44,30,52,23,4,0,0
"N00000080",146,22,43,27,38,13,3,0,0
"N00000081",140,46,40,21,20,9,3,1,0
"N00000082",132,32,42,22,24,9,2,1,0
"N00000083",208,22,66,37,44,27,10,2,0
"N00000084",153,19,48,34,26,22,3,1,0
"N00000085",180,73,47,27,19,10,3,1,0
"N00000086",142,30,38,31,26,13,2,1,1
"N00000087",303,48,84,57,69,28,13,2,2
"N00000088",136,81,38,11,4,2,0,0,0
"N00000089",164,29,44,34,32,20,4,1,0
"N00000090",138,29,41,25,24,12,3,2,2
"N00000091",176,36,59,34,22,20,3,2,0
"N00000092",168,25,52,32,29,22,5,2,1
"N00000093",140,35,43,14,18,19,7,4,0
"N00000094",161,18,59,23,35,14,7,5,0
"N00000095",152,30,36,25,32,17,9,2,1
"N00000096",158,22,62,28,29,14,1,0,2
"N00000097",296,43,85,68,71,25,4,0,0
"N00000098",446,81,153,103,68,34,6,1,0
"N00000099",107,28,38,24,8,6,2,0,1
"N00000100",164,71,46,22,16,7,1,1,0
"N00000101",122,44,30,28,11,5,3,1,0
"N00000102",125,36,34,24,20,6,4,0,1
"N00000103",205,51,51,44,35,19,5,0,0
"N00000104",130,41,31,28,20,6,3,1,0
"N00000105",148,61,40,19,16,8,3,1,0
"N00000106",103,55,23,11,8,4,2,0,0
"N00000107",120,41,36,22,16,4,1,0,0
"N00000108",110,37,40,15,11,5,2,0,0
