"Geography_Code","NM_1554_1_0","NM_1554_1_1","NM_1554_1_2","NM_1554_1_3","NM_1554_1_4","NM_1554_1_5","NM_1554_1_6","NM_1554_1_7","NM_1554_1_8","NM_1554_1_9"
"N00000001",310,0,0,12,6,52,152,60,20,8
"N00000002",141,1,0,12,15,32,34,14,11,22
"N00000003",78,0,0,2,0,5,17,14,18,22
"N00000004",195,0,1,3,11,24,31,39,30,56
"N00000005",124,0,0,2,4,18,22,19,21,38
"N00000006",86,0,0,1,8,13,14,10,16,24
"N00000007",89,0,1,4,0,16,16,18,15,19
"N00000008",138,0,5,8,34,19,13,37,7,15
"N00000009",275,0,2,10,36,59,44,39,31,54
"N00000010",86,0,0,2,6,23,16,14,5,20
"N00000011",136,0,4,11,24,48,29,10,8,2
"N00000012",121,0,2,19,14,63,18,3,2,0
"N00000013",136,2,14,16,26,34,21,7,6,10
"N00000014",205,0,2,23,32,105,25,13,2,3
"N00000015",119,1,3,6,27,57,17,5,2,1
"N00000016",122,0,3,21,34,38,22,2,1,1
"N00000017",144,0,2,5,36,62,16,9,6,8
"N00000018",94,1,0,4,8,26,50,4,1,0
"N00000019",116,0,1,12,15,70,13,2,2,1
"N00000020",122,0,3,5,47,56,8,1,1,1
"N00000021",128,2,3,15,4,76,18,3,3,4
"N00000022",126,0,5,16,22,68,11,0,2,2
"N00000023",115,0,3,9,32,53,15,3,0,0
"N00000024",174,0,0,2,7,23,22,24,25,71
"N00000025",159,1,0,5,3,16,31,27,31,45
"N00000026",151,0,0,3,4,13,19,23,33,56
"N00000027",178,0,0,5,12,48,36,23,25,29
"N00000028",85,0,0,4,4,29,16,13,11,8
"N00000029",136,0,1,0,4,9,24,18,27,53
"N00000030",131,0,0,1,9,17,19,25,28,32
"N00000031",201,0,0,5,6,25,40,30,44,51
"N00000032",133,0,0,5,4,36,25,36,18,9
"N00000033",166,1,0,5,8,21,24,38,22,47
"N00000034",158,0,1,3,7,35,34,38,23,17
"N00000035",128,1,3,14,17,56,21,9,4,3
"N00000036",134,1,1,0,15,47,43,12,7,8
"N00000037",124,0,1,3,17,57,33,8,3,2
"N00000038",138,0,1,1,13,32,42,13,18,18
"N00000039",448,7,11,35,50,137,88,49,35,36
"N00000040",114,1,1,16,20,46,20,5,5,0
"N00000041",144,1,0,2,4,38,34,34,21,10
"N00000042",126,0,0,3,9,31,22,25,28,8
"N00000043",368,0,1,16,26,109,60,65,60,31
"N00000044",108,0,4,3,18,45,26,7,4,1
"N00000045",170,0,0,1,14,23,23,33,26,50
"N00000046",129,0,1,2,9,13,22,23,26,33
"N00000047",138,0,1,3,9,28,27,23,19,28
"N00000048",125,0,2,6,23,75,13,2,2,2
"N00000049",123,0,2,9,22,65,20,2,1,2
"N00000050",135,0,1,4,30,33,17,9,20,21
"N00000051",124,0,0,16,4,57,32,10,3,2
"N00000052",120,0,1,9,6,40,34,11,12,7
"N00000053",108,0,2,17,8,47,20,6,3,5
"N00000054",111,0,0,5,1,69,25,7,1,3
"N00000055",117,0,0,4,2,71,32,6,1,1
"N00000056",119,0,0,12,4,77,20,5,1,0
"N00000057",118,0,3,5,15,86,8,0,1,0
"N00000058",121,1,0,7,8,90,8,2,4,1
"N00000059",110,0,2,15,19,67,2,3,0,2
"N00000060",180,0,0,14,19,130,13,1,2,1
"N00000061",129,0,0,1,9,31,22,17,23,26
"N00000062",130,0,0,1,1,16,34,22,34,22
"N00000063",155,0,0,21,21,75,14,11,7,6
"N00000064",133,0,0,8,34,65,19,4,1,2
"N00000065",146,0,0,0,3,36,53,29,14,11
"N00000066",110,0,0,3,2,48,40,7,6,4
"N00000067",134,0,2,17,4,74,26,5,2,4
"N00000068",124,0,0,0,0,25,33,18,21,27
"N00000069",145,0,1,30,11,73,25,2,2,1
"N00000070",104,0,0,1,5,22,41,16,9,10
"N00000071",136,1,3,7,48,30,18,11,9,9
"N00000072",634,2,5,12,53,201,144,78,90,49
"N00000073",249,1,13,46,54,85,28,9,5,8
"N00000074",386,0,2,8,18,164,79,54,21,40
"N00000075",111,0,2,6,4,17,40,29,11,2
"N00000076",114,0,0,5,5,39,21,19,9,16
"N00000077",98,0,1,3,1,19,34,18,17,5
"N00000078",161,0,0,1,1,49,52,35,14,9
"N00000079",192,2,0,1,8,20,23,27,42,69
"N00000080",146,0,1,2,3,32,31,22,20,35
"N00000081",140,0,0,9,28,37,15,8,8,35
"N00000082",132,0,0,1,4,6,21,21,27,52
"N00000083",208,1,0,1,4,22,29,34,44,73
"N00000084",153,0,0,2,8,10,33,24,33,43
"N00000085",180,2,16,30,37,38,28,12,6,11
"N00000086",142,0,4,7,9,55,40,14,7,6
"N00000087",303,0,5,4,16,65,41,55,55,62
"N00000088",136,2,12,40,29,41,9,0,1,2
"N00000089",164,0,9,7,6,63,31,23,18,7
"N00000090",138,0,0,4,5,49,27,24,10,19
"N00000091",176,0,2,5,15,61,34,21,15,23
"N00000092",168,0,1,3,10,20,31,23,27,53
"N00000093",140,0,0,2,17,26,31,20,14,30
"N00000094",161,0,0,2,4,17,29,37,28,44
"N00000095",152,0,3,4,12,19,33,19,28,34
"N00000096",158,0,2,3,6,9,22,31,30,55
"N00000097",296,0,0,12,17,102,77,54,26,8
"N00000098",446,0,1,25,51,174,100,59,28,8
"N00000099",107,0,2,4,19,39,22,16,4,1
"N00000100",164,0,3,9,71,38,27,12,1,3
"N00000101",122,1,3,21,7,71,9,4,4,2
"N00000102",125,0,2,13,4,38,31,28,7,2
"N00000103",205,1,1,8,11,70,74,22,11,7
"N00000104",130,0,1,24,12,55,27,8,1,2
"N00000105",148,0,0,9,18,99,18,2,2,0
"N00000106",103,1,0,19,23,54,3,1,1,1
"N00000107",120,0,1,14,11,80,9,4,0,1
"N00000108",110,0,1,10,11,29,28,20,7,4
"N00000109",229,0,0,17,28,151,26,2,1,4
"N00000110",122,1,0,8,11,75,21,3,1,2
"N00000111",136,0,1,3,1,77,21,14,11,8
"N00000112",143,0,0,4,0,60,52,15,7,5
"N00000113",122,1,0,3,10,60,30,13,3,2
"N00000114",121,0,0,0,4,57,41,11,7,1
"N00000115",128,0,2,4,15,83,17,4,2,1
"N00000116",119,0,2,9,12,72,16,8,0,0
"N00000117",86,0,5,14,15,36,11,2,1,2
"N00000118",143,0,2,17,21,16,19,21,19,28
"N00000119",125,0,0,2,3,23,41,26,10,20
"N00000120",127,0,1,1,10,17,24,22,16,36
"N00000121",124,0,1,2,25,52,17,9,12,6
"N00000122",199,0,1,16,14,33,23,39,24,49
"N00000123",143,0,1,0,9,12,21,32,20,48
"N00000124",143,0,0,7,7,23,28,26,18,34
"N00000125",148,0,4,3,10,28,18,26,28,31
"N00000126",134,0,4,4,7,21,35,20,20,23
"N00000127",130,0,4,2,15,29,20,31,15,14
"N00000128",282,0,3,13,19,39,60,48,45,55
"N00000129",138,0,1,18,20,77,13,4,3,2
"N00000130",152,0,2,2,3,33,30,22,26,34
"N00000131",136,0,0,2,6,19,36,35,15,23
"N00000132",121,0,0,1,6,19,24,15,25,31
"N00000133",139,0,1,14,15,49,27,11,11,11
"N00000134",177,1,1,17,15,35,31,27,13,37
"N00000135",119,0,1,2,29,64,13,3,4,3
"N00000136",188,0,1,7,7,37,57,36,24,19
"N00000137",120,0,1,0,12,30,50,16,6,5
"N00000138",155,0,1,1,1,30,53,21,22,26
"N00000139",133,0,5,11,21,26,38,11,11,10
"N00000140",158,0,2,11,28,40,38,17,10,12
"N00000141",220,0,22,19,56,73,37,9,2,2
"N00000142",96,1,0,3,6,47,32,6,1,0
"N00000143",123,1,4,27,37,33,18,3,0,0
"N00000144",110,0,2,13,26,34,23,11,0,1
"N00000145",75,0,24,10,17,14,5,4,0,1
"N00000146",105,0,0,4,11,10,15,13,15,37
"N00000147",106,0,3,17,16,19,40,6,4,1
"N00000148",279,1,3,10,38,122,67,15,14,9
