"Geography_Code","NM_1558_1_0","NM_1558_1_1","NM_1558_1_2","NM_1558_1_3","NM_1558_1_4","NM_1558_1_5","NM_1558_1_6","NM_1558_1_7"
"N00000001",310,0,12,0,268,0,0,30
"N00000002",141,0,19,2,92,2,2,24
"N00000003",78,0,1,0,57,2,1,17
"N00000004",195,4,2,1,136,3,0,49
"N00000005",124,3,3,1,88,1,2,26
"N00000006",86,3,1,0,59,2,1,20
"N00000007",89,1,3,0,59,0,0,26
"N00000008",138,0,17,5,92,3,0,21
"N00000009",275,1,37,3,197,4,1,32
"N00000010",86,2,1,1,57,4,0,21
"N00000011",136,0,0,6,100,17,0,13
"N00000012",121,0,0,3,85,12,0,21
"N00000013",136,1,5,24,86,6,1,13
"N00000014",205,0,55,3,116,11,0,20
"N00000015",119,0,1,19,76,12,2,9
"N00000016",122,1,3,10,78,26,0,4
"N00000017",144,0,49,2,79,4,2,8
"N00000018",94,0,3,6,67,1,0,17
"N00000019",116,0,19,0,78,8,0,11
"N00000020",122,0,47,1,61,7,0,6
"N00000021",128,1,18,15,82,5,0,7
"N00000022",126,0,23,3,79,6,0,15
"N00000023",115,0,20,1,82,3,0,9
"N00000024",174,1,3,0,140,4,2,24
"N00000025",159,5,5,1,110,5,2,31
"N00000026",151,2,4,2,104,3,2,34
"N00000027",178,0,5,0,138,5,1,29
"N00000028",85,0,1,0,66,9,1,8
"N00000029",136,1,4,0,94,5,0,32
"N00000030",131,4,3,1,92,1,0,30
"N00000031",201,3,1,0,138,5,5,49
"N00000032",133,0,0,1,89,1,0,42
"N00000033",166,0,4,1,113,5,1,42
"N00000034",158,1,2,1,120,2,0,32
"N00000035",128,1,2,0,93,7,0,25
"N00000036",134,0,16,0,89,4,0,25
"N00000037",124,1,3,1,93,5,1,20
"N00000038",138,1,1,0,96,6,1,33
"N00000039",448,2,9,38,327,5,3,64
"N00000040",114,0,0,2,100,3,1,8
"N00000041",144,1,0,0,117,1,0,25
"N00000042",126,0,0,0,91,1,1,33
"N00000043",368,0,4,5,312,5,3,39
"N00000044",108,3,0,1,81,3,0,20
"N00000045",170,0,1,0,126,3,1,39
"N00000046",129,3,0,0,91,0,1,34
"N00000047",138,2,0,1,94,4,0,37
"N00000048",125,0,1,1,100,8,1,14
"N00000049",123,1,2,2,94,10,0,14
"N00000050",135,0,1,0,100,6,1,27
"N00000051",124,0,0,2,113,2,0,7
"N00000052",120,1,2,0,98,6,0,13
"N00000053",108,0,10,10,74,8,0,6
"N00000054",111,0,18,1,75,8,0,9
"N00000055",117,0,5,2,90,10,1,9
"N00000056",119,0,9,0,98,5,0,7
"N00000057",118,1,51,0,53,3,0,10
"N00000058",121,0,40,4,67,3,0,7
"N00000059",110,0,53,2,45,4,1,5
"N00000060",180,0,38,6,121,7,0,8
"N00000061",129,0,12,3,91,6,0,17
"N00000062",130,0,2,0,112,2,0,14
"N00000063",155,0,70,0,76,3,0,6
"N00000064",133,2,63,7,50,2,0,9
"N00000065",146,0,5,0,94,4,0,43
"N00000066",110,0,3,1,85,1,0,20
"N00000067",134,0,35,2,84,8,1,4
"N00000068",124,0,3,1,98,2,0,20
"N00000069",145,1,66,2,67,4,0,5
"N00000070",104,0,0,1,88,0,0,15
"N00000071",136,1,12,3,101,3,1,15
"N00000072",634,1,8,7,529,12,1,76
"N00000073",249,4,46,13,154,11,3,18
"N00000074",386,1,78,3,250,4,0,50
"N00000075",111,0,11,0,75,1,0,24
"N00000076",114,0,2,0,84,3,0,25
"N00000077",98,0,0,0,72,0,0,26
"N00000078",161,0,1,0,141,4,0,15
"N00000079",192,1,3,0,131,1,3,53
"N00000080",146,1,3,3,115,2,1,21
"N00000081",140,0,2,1,118,7,1,11
"N00000082",132,1,5,2,93,2,1,28
