"Group","v01","v02","v03","v04","v05","v06","v07","v08","v09","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60"
"1a",0.376689645516471,0.408438452236995,0.580206459619429,0.644435925666647,0.833515019410678,0.785983001336467,0.433571195825114,0.986803742124368,0.234979704703119,0.0357364093425828,0.110148921275377,0.00376942022529116,0.0240502959333036,0.0321289950995992,0.0114972124992045,0.0352382103990325,0.0352498440781521,0.118038554063514,0.996453338000396,0.0493014064787121,0.801177591802968,0.907589346401075,0.154826341246103,0.63224214981226,0.907213568382866,0.606643817221405,0.729102736587547,0.789356093680408,0.6848070705785,0.924896607904278,0.0698656080952076,0.975521752688859,0.925945522815506,0.659931216190413,0.331892719404314,0.180076503532105,0.967627544071792,0.227432679946536,0.551451129637879,0.98036341882518,0.211951352383378,0.77901634315533,0.72273790491948,0.886470349392232,0.803408655253605,0.637009546235591,0.796549099471779,0.778994845032792,0.927146413797487,0.385022389104562,0.63343169986635,0.673720492585754,0.587498523515554,0.550617857824733,0.62781826513078,0.504713772035897,0.434399102653858,0.428654808120664,0.490871412206455,0.239116483166812
"1b",0.576691363785733,0.472940545514291,0.609283851462377,0.691928379888274,0.826056023660858,0.751871777850806,0.3840806638186,0.987935037791669,0.223579428195864,0.0331639960565235,0.0890493328951688,0.0112753072625698,0.0426490174170229,0.0680192967466327,0.0378753401248769,0.04805838974696,0.0559774170226758,0.152843831744988,0.993856352283939,0.0573953138350313,0.811884640157742,0.904645974367404,0.194811350640816,0.662656851791002,0.900137121261911,0.60035166611896,0.721524002628982,0.766986283273096,0.732142911600393,0.931621925731194,0.0154745974367401,0.980644758462045,0.722083549129148,0.90215639829116,0.182642773578703,0.129600558659217,0.979917982254359,0.192352257640483,0.459227479461061,0.979424475846212,0.203992665133092,0.768081853434092,0.721127157410447,0.859015372987186,0.820036851790982,0.66739702924745,0.772735787052256,0.767248209004281,0.933116109102859,0.418434939204733,0.572387466316137,0.678532665133092,0.617734419980275,0.592134249096283,0.586289983568842,0.52833952021032,0.500197114689452,0.472180992441671,0.496579060138024,0.250318665790347
"1c",0.529832366609299,0.466128468158347,0.640623932874357,0.660601273666096,0.838171858864028,0.737697426850255,0.367193184165234,0.98218812392427,0.245885507745271,0.0487985456110156,0.149694328743545,0.0117829776247848,0.0705035542168678,0.123345025817558,0.0587756970740105,0.0634789414802065,0.0612863166953532,0.18925178141136,0.99093764199656,0.0587288898450947,0.811999655765921,0.902029061962132,0.26089672977625,0.618506282271943,0.923743864027531,0.542366049913941,0.662403795180722,0.773220292598969,0.761817538726337,0.935874948364893,0.0310256798623064,0.976886144578312,0.949122254733219,0.532756411359726,0.20948244406196,0.184694621342512,0.986109982788298,0.130257383820997,0.391144449225471,0.988685585197934,0.125936506024097,0.731776703958699,0.69727148020654,0.908323313253016,0.785550826161791,0.6399011101549,0.850475507745265,0.772429345955251,0.930463580034421,0.450969079173838,0.668179423407912,0.748430361445786,0.637159354561099,0.572786506024093,0.496271678141138,0.443470963855421,0.433022039586917,0.306374010327018,0.381166325301199,0.231099079173842
"2a",0.571277224273665,0.532926781857447,0.636979056643208,0.738857541977289,0.822326956037067,0.677342374416497,0.268207002020485,0.982631944541211,0.308358405908177,0.0491167909147913,0.119948554309203,0.0156695116003623,0.0523099770082915,0.0760406465547288,0.0405885807845053,0.0667916254441581,0.0798737546157601,0.223607259806311,0.991767950951034,0.0720900299588935,0.856239782623842,0.873844471539054,0.234120706472515,0.72602615481084,0.868834160105905,0.662126231449869,0.741927652755521,0.774861157946079,0.759874165679649,0.922549320699507,0.0216076430014631,0.973623737197802,0.63577326691284,0.786897728697831,0.758073998467221,0.240172263638261,0.958221863025151,0.215538382219742,0.63421199749181,0.968591193478724,0.263651724378183,0.75804172646833,0.688406026614638,0.845903574165677,0.811932481014417,0.692745746533829,0.782127241691634,0.759048700620084,0.936343273183305,0.422264871455446,0.577721598272136,0.671584553751824,0.61964711906918,0.573099435658044,0.585891374625508,0.544212596669685,0.501903664739076,0.476961506305303,0.52021614993381,0.285929492092251
"2b",0.434747371967666,0.499658063791548,0.63467760557053,0.701178605121293,0.828355559299197,0.721540436882297,0.337590869272238,0.984503515274043,0.282761910377363,0.042607794249775,0.132004385669364,0.0079951819407008,0.0340535377358492,0.0552397742587611,0.0198528863432166,0.049227998652291,0.0606317722371971,0.197369086927223,0.993998787062012,0.0528455862533695,0.840845878256965,0.886487595462716,0.193544626010781,0.690171703728659,0.885611781221925,0.651544053234498,0.734091807053015,0.777215700808631,0.743582653863429,0.925055205525602,0.0469579177897574,0.971965689577721,0.824822276504942,0.784362595462714,0.617120384097036,0.277156564465409,0.941978498427675,0.542539325022458,0.585772175426771,0.968551196091642,0.274733411949687,0.77162724056603,0.704782923405204,0.877277628032345,0.80233589959568,0.669429048742139,0.795268598382748,0.773248758984735,0.930271091644205,0.41232059186882,0.62740612646001,0.673991127583105,0.602474943845452,0.545753459119492,0.608356564465401,0.530287938005389,0.459443553459122,0.446574792228212,0.51578352987421,0.277109338499552
"2c",0.538856546112115,0.457389867389986,0.589867148884876,0.694152055455097,0.822876678722123,0.749844677516571,0.443266962025318,0.980365593731174,0.316928227848105,0.0541897046413496,0.141022411091019,0.012776901748041,0.0525843279083789,0.0673052802893318,0.0298636949969861,0.0643399517781799,0.0658981133212783,0.190142465340566,0.992912368896941,0.0804750994575047,0.837059903556362,0.887434165159737,0.220752591922846,0.693291820373723,0.868506799276679,0.670672332730553,0.792944864376144,0.753059801085002,0.698879626280888,0.892649897528626,0.113638396624473,0.968760584689571,0.724826401446653,0.727529210367692,0.60035051235684,0.677913152501507,0.941397221217605,0.395428251959013,0.636909282700414,0.956485672091622,0.2924924291742,0.784613863773344,0.696762290536462,0.817879746835452,0.797361735985527,0.644296907775769,0.802253164556962,0.767415099457512,0.932001356238699,0.401073411693789,0.61356444846292,0.691705003013864,0.616486672694387,0.552687661241708,0.567747504520791,0.520139409282704,0.472588065099463,0.413990235081378,0.493707245328513,0.286077691380354
"3a",0.662214356800591,0.346987559896791,0.299665831183193,0.85066889052709,0.683145226686327,0.448190213785479,0.171727368227055,0.896755510504976,0.569834850718764,0.166481091043125,0.31660103206782,0.0469070217471433,0.29351479911537,0.276941024695909,0.156285938075931,0.217296111315886,0.264439052709177,0.296906118687798,0.956034353114629,0.248142517508293,0.889433781791377,0.790106745300403,0.501420180611868,0.915422871360118,0.640345558422411,0.531975377810542,0.846819203833396,0.750726373018792,0.488214633247326,0.788089716181349,0.163856929598231,0.836102617029115,0.112622152598599,0.156732786583118,0.225408201253224,0.978259417618868,0.7586217287136,0.417704754883891,0.871168687799486,0.795693936601547,0.631672558053816,0.72129723553262,0.485457869517138,0.497411223737557,0.701789753040913,0.628167969037965,0.870050147438257,0.729184316255068,0.933241835606344,0.691857445632143,0.50086588647254,0.748859528197566,0.645346848507188,0.510410302248434,0.404237559896794,0.44210604496867,0.524669111684482,0.27201669738297,0.545237559896792,0.362973000368595
"3b",0.678778913690474,0.569647172619048,0.618171279761903,0.809203005952381,0.769316220238095,0.503616800595241,0.164505744047619,0.839791011904762,0.623346130952382,0.297539047619047,0.609647886904764,0.239807619047619,0.20389869047619,0.260488437500002,0.178488244047619,0.337381101190478,0.673330267857145,0.518620029761901,0.858619062500001,0.461571889880954,0.774582247023812,0.825267738095238,0.690730610119044,0.855980535714284,0.748102098214287,0.676720907738099,0.817919389880953,0.632601026785713,0.725848154761905,0.821077529761909,0.0527793005952381,0.945203735119051,0.107413363095237,0.179598720238094,0.249784613095237,0.985409315476186,0.642202916666666,0.834233467261904,0.719103839285712,0.759464464285713,0.711933645833332,0.772946473214291,0.606175744047615,0.418685699404761,0.744609553571429,0.624879434523808,0.824452723214287,0.77581023809524,0.925731815476196,0.555021041666664,0.518931443452379,0.677088764880952,0.603366205357141,0.496169479166665,0.480115550595237,0.562144166666664,0.506959002976189,0.452218065476187,0.615627440476188,0.519321071428575
"3c",0.659970683311433,0.523845295663608,0.534393429697766,0.847558252299607,0.744448856767411,0.50334249671485,0.177171195795008,0.837802207621549,0.678793219448094,0.334185755584758,0.462635716162948,0.10234629434954,0.274059119579499,0.351966176084101,0.15141776609724,0.329454165571618,0.443672036793691,0.533868488830483,0.925853219448097,0.279414822601839,0.845553153745074,0.815405913272008,0.602846360052563,0.852463298291719,0.779169369250989,0.603045978975032,0.811045768725367,0.783459224704328,0.670441038107755,0.815353561103815,0.0489335742444152,0.919849132720103,0.171169053876477,0.30504047306176,0.445069986859396,0.956174638633375,0.816220091984238,0.520612706964517,0.841399671484891,0.850593180026283,0.589203653088041,0.713967214191855,0.548615466491454,0.505867687253612,0.62121508541393,0.596335584756897,0.922608725361364,0.690786097240473,0.955701353482263,0.491184520367936,0.657372141918526,0.79142134034166,0.678810275952691,0.47280968462549,0.368362509855449,0.409749132720102,0.371954914586069,0.250087568988174,0.395180946123522,0.397424862023658
"4a",0.641977524312642,0.599834433905629,0.689731012126307,0.779324384680033,0.770698835394404,0.523476671869373,0.164558626485773,0.85672702605355,0.605981354304238,0.244465974306639,0.612111525993516,0.263492616160403,0.138568075399207,0.302836378917038,0.358651722895905,0.351763597070476,0.700804622403647,0.524227122103494,0.847135910673549,0.488211117781248,0.74403407371833,0.831362876695878,0.728865542081882,0.827211105775004,0.793524612798654,0.669400300156087,0.768083899627808,0.589815488053793,0.783331204226197,0.865677284187779,0.0452213711129788,0.961341121383116,0.373211706087163,0.613803601872976,0.734357834073716,0.797816352503303,0.739665578100615,0.813583515428025,0.708631312282387,0.838697718813784,0.67390685556489,0.771375543282512,0.641563044783286,0.615359755072635,0.775582290791211,0.636020614719654,0.774271701284668,0.798946368111417,0.915884343858808,0.577094465121862,0.476156165205904,0.620809977188138,0.55019835514467,0.498383287309397,0.53501509184776,0.59602400048025,0.540277320206507,0.537997310601511,0.668447004442309,0.506017433065198
