"Code","Name","TableCode","TS_code","TableName21","CategoryCode11"
"NM_1530_1_0","All categories: Residence type","NM_1530_1","TS001","Residency type",0
"NM_2021_1_0","Total: All usual residents","NM_2021_1","TS001","Residency type",0
"NM_1530_1_1","Lives in a household","NM_1530_1","TS001","Residency type",1
"NM_2021_1_1","Lives in a household","NM_2021_1","TS001","Residency type",1
"NM_1530_1_2","Lives in a communal establishment","NM_1530_1","TS001","Residency type",2
"NM_2021_1_2","Lives in a communal establishment","NM_2021_1","TS001","Residency type",2
"NM_1500_1_0","All usual residents aged 16+","NM_1500_1","TS002","Legal partnership status",0
"NM_2022_1_0","Total: All usual residents aged 16 years and over","NM_2022_1","TS002","Legal partnership status",0
"NM_1500_1_1","Single (never married or never registered a same-sex civil partnership)","NM_1500_1","TS002","Legal partnership status",1
"NM_2022_1_1","Never married and never registered a civil partnership","NM_2022_1","TS002","Legal partnership status",1
"NM_1500_1_2","Married","NM_1500_1","TS002","Legal partnership status",2
"NM_2022_1_1001","Married or in a registered civil partnership","NM_2022_1","TS002","Legal partnership status",2
"NM_1500_1_3","In a registered same-sex civil partnership","NM_1500_1","TS002","Legal partnership status",3
"NM_1500_1_4","Separated (but still legally married or still legally in a same-sex civil partnership)","NM_1500_1","TS002","Legal partnership status",4
"NM_1500_1_5","Divorced or formerly in a same-sex civil partnership which is now legally dissolved","NM_1500_1","TS002","Legal partnership status",5
"NM_1500_1_6","Widowed or surviving partner from a same-sex civil partnership","NM_1500_1","TS002","Legal partnership status",6
"NM_2022_1_1004","Separated, but still legally married or still legally in a civil partnership","NM_2022_1","TS002","Legal partnership status",4
"NM_2022_1_1005","Divorced or civil partnership dissolved","NM_2022_1","TS002","Legal partnership status",5
"NM_2022_1_1006","Widowed or surviving civil partnership partner","NM_2022_1","TS002","Legal partnership status",6
"NM_1538_1_0","All categories: Household composition","NM_1538_1","TS003","Household composition",0
"NM_1538_1_1","One person household: Total","NM_1538_1","TS003","Household composition",1
"NM_1538_1_2","One person household: Aged 65 and over","NM_1538_1","TS003","Household composition",2
"NM_1538_1_3","One person household: Other","NM_1538_1","TS003","Household composition",3
"NM_1538_1_4","One family only: Total","NM_1538_1","TS003","Household composition",4
"NM_1538_1_5","One family only: All aged 65 and over","NM_1538_1","TS003","Household composition",5
"NM_1538_1_6","One family only: Married couple: Total","NM_1538_1","TS003","Household composition",6
"NM_1538_1_7","One family only: Married couple: No children","NM_1538_1","TS003","Household composition",7
"NM_1538_1_8","One family only: Married couple: One dependent child","NM_1538_1","TS003","Household composition",8
"NM_1538_1_9","One family only: Married couple: Two or more dependent children","NM_1538_1","TS003","Household composition",9
"NM_1538_1_10","One family only: Married couple: All children non-dependent","NM_1538_1","TS003","Household composition",10
"NM_1538_1_11","One family only: Same-sex civil partnership couple: Total","NM_1538_1","TS003","Household composition",11
"NM_2023_1_0","Total: All households","NM_2023_1","TS003","Household composition",0
"NM_1538_1_12","One family only: Cohabiting couple: Total","NM_1538_1","TS003","Household composition",12
"NM_2023_1_1001","One-person household","NM_2023_1","TS003","Household composition",1
"NM_1538_1_13","One family only: Cohabiting couple: No children","NM_1538_1","TS003","Household composition",13
"NM_2023_1_1","One-person household: Aged 66 years and over","NM_2023_1","TS003","Household composition",2
"NM_1538_1_14","One family only: Cohabiting couple: One dependent child","NM_1538_1","TS003","Household composition",14
"NM_2023_1_2","One-person household: Other","NM_2023_1","TS003","Household composition",3
"NM_1538_1_15","One family only: Cohabiting couple: Two or more dependent children","NM_1538_1","TS003","Household composition",15
"NM_2023_1_1002","Single family household","NM_2023_1","TS003","Household composition",4
"NM_1538_1_16","One family only: Cohabiting couple: All children non-dependent","NM_1538_1","TS003","Household composition",16
"NM_2023_1_3","Single family household: All aged 66 years and over","NM_2023_1","TS003","Household composition",5
"NM_1538_1_17","One family only: Lone parent: Total","NM_1538_1","TS003","Household composition",17
"NM_2023_1_1003","Single family household: Married or civil partnership couple","NM_2023_1","TS003","Household composition",6
"NM_1538_1_18","One family only: Lone parent: One dependent child","NM_1538_1","TS003","Household composition",18
"NM_2023_1_4","Single family household: Married or civil partnership couple: No children","NM_2023_1","TS003","Household composition",7
"NM_1538_1_19","One family only: Lone parent: Two or more dependent children","NM_1538_1","TS003","Household composition",19
"NM_2023_1_5","Single family household: Married or civil partnership couple: Dependent children","NM_2023_1","TS003","Household composition",8
"NM_1538_1_20","One family only: Lone parent: All children non-dependent","NM_1538_1","TS003","Household composition",20
"NM_2023_1_6","Single family household: Married or civil partnership couple: All children non-dependent","NM_2023_1","TS003","Household composition",10
"NM_1538_1_21","Other household types: Total","NM_1538_1","TS003","Household composition",21
"NM_2023_1_1004","Single family household: Cohabiting couple family","NM_2023_1","TS003","Household composition",12
"NM_1538_1_22","Other household types: With one dependent child","NM_1538_1","TS003","Household composition",22
"NM_2023_1_7","Single family household: Cohabiting couple family: No children","NM_2023_1","TS003","Household composition",13
"NM_1538_1_23","Other household types: With two or more dependent children","NM_1538_1","TS003","Household composition",23
"NM_2023_1_8","Single family household: Cohabiting couple family: With dependent children","NM_2023_1","TS003","Household composition",14
"NM_1538_1_24","Other household types: All full-time students","NM_1538_1","TS003","Household composition",24
"NM_2023_1_9","Single family household: Cohabiting couple family: All children non-dependent","NM_2023_1","TS003","Household composition",16
"NM_1538_1_25","Other household types: All aged 65 and over","NM_1538_1","TS003","Household composition",25
"NM_2023_1_1005","Single family household: Lone parent family","NM_2023_1","TS003","Household composition",17
"NM_1538_1_26","Other household types: Other","NM_1538_1","TS003","Household composition",26
"NM_2023_1_10","Single family household: Lone parent family: With dependent children","NM_2023_1","TS003","Household composition",18
"NM_2023_1_11","Single family household: Lone parent family: All children non-dependent","NM_2023_1","TS003","Household composition",20
"NM_2023_1_1007","Other household types","NM_2023_1","TS003","Household composition",21
"NM_2023_1_13","Other household types: With dependent children","NM_2023_1","TS003","Household composition",22
"NM_2023_1_14","Other household types: Other, including all full-time students and all aged 66 years and over","NM_2023_1","TS003","Household composition",24
"NM_1544_1_0","All categories: Country of birth","NM_1544_1","TS004","Country of birth",0
"NM_1544_1_1","Europe: Total","NM_1544_1","TS004","Country of birth",1
"NM_1544_1_2","Europe: United Kingdom: Total","NM_1544_1","TS004","Country of birth",2
"NM_2024_1_0","Total: All usual residents","NM_2024_1","TS004","Country of birth",0
"NM_2024_1_1001","Europe","NM_2024_1","TS004","Country of birth",1
"NM_1544_1_8","Europe: Channel Islands and Isle of Man","NM_1544_1","TS004","Country of birth",8
"NM_2024_1_1","Europe: United Kingdom","NM_2024_1","TS004","Country of birth",2
"NM_2024_1_1002","Europe: EU countries","NM_2024_1","TS004","Country of birth",11
"NM_1544_1_11","Europe: Other Europe: EU Countries: Total","NM_1544_1","TS004","Country of birth",11
"NM_2024_1_1003","Europe: Non-EU countries","NM_2024_1","TS004","Country of birth",8
"NM_2024_1_7","Africa","NM_2024_1","TS004","Country of birth",20
"NM_1544_1_17","Europe: Other Europe: Rest of Europe: Total","NM_1544_1","TS004","Country of birth",17
"NM_2024_1_8","Middle East and Asia","NM_2024_1","TS004","Country of birth",30
"NM_2024_1_9","The Americas and the Caribbean","NM_2024_1","TS004","Country of birth",45
"NM_2024_1_10","Antarctica and Oceania (including Australasia) and Other","NM_2024_1","TS004","Country of birth",52
"NM_1544_1_20","Africa: Total","NM_1544_1","TS004","Country of birth",20
"NM_1544_1_30","Middle East and Asia: Total","NM_1544_1","TS004","Country of birth",30
"NM_1544_1_45","The Americas and the Caribbean: Total","NM_1544_1","TS004","Country of birth",45
"NM_1544_1_52","Antarctica and Oceania: Total","NM_1544_1","TS004","Country of birth",52
"NM_2026_1_0","Usual residents per square kilometre","NM_2026_1","TS006","Population density",2
"NM_160_1_2","Density (number of persons per hectare)","NM_160_1","TS006","Population density",2
"NM_2020_1_0","Total","NM_2020_1","TS007A","Age structure",0
"NM_2020_1_1","Aged 4 years and under","NM_2020_1","TS007A","Age structure",1
"NM_2020_1_2","Aged 5 to 9 years","NM_2020_1","TS007A","Age structure",6
"NM_1531_1_0","All categories: Age","NM_1531_1","TS007A","Age structure",0
"NM_2020_1_3","Aged 10 to 14 years","NM_2020_1","TS007A","Age structure",11
"NM_1531_1_1","Age under 1","NM_1531_1","TS007A","Age structure",1
"NM_2020_1_4","Aged 15 to 19 years","NM_2020_1","TS007A","Age structure",16
"NM_1531_1_2","Age 1","NM_1531_1","TS007A","Age structure",2
"NM_2020_1_5","Aged 20 to 24 years","NM_2020_1","TS007A","Age structure",21
"NM_1531_1_3","Age 2","NM_1531_1","TS007A","Age structure",3
"NM_2020_1_6","Aged 25 to 29 years","NM_2020_1","TS007A","Age structure",26
"NM_1531_1_4","Age 3","NM_1531_1","TS007A","Age structure",4
"NM_2020_1_7","Aged 30 to 34 years","NM_2020_1","TS007A","Age structure",31
"NM_1531_1_5","Age 4","NM_1531_1","TS007A","Age structure",5
"NM_2020_1_8","Aged 35 to 39 years","NM_2020_1","TS007A","Age structure",36
"NM_1531_1_6","Age 5","NM_1531_1","TS007A","Age structure",6
"NM_2020_1_9","Aged 40 to 44 years","NM_2020_1","TS007A","Age structure",41
"NM_1531_1_7","Age 6","NM_1531_1","TS007A","Age structure",7
"NM_2020_1_10","Aged 45 to 49 years","NM_2020_1","TS007A","Age structure",46
"NM_1531_1_8","Age 7","NM_1531_1","TS007A","Age structure",8
"NM_2020_1_11","Aged 50 to 54 years","NM_2020_1","TS007A","Age structure",51
"NM_1531_1_9","Age 8","NM_1531_1","TS007A","Age structure",9
"NM_2020_1_12","Aged 55 to 59 years","NM_2020_1","TS007A","Age structure",56
"NM_1531_1_10","Age 9","NM_1531_1","TS007A","Age structure",10
"NM_2020_1_13","Aged 60 to 64 years","NM_2020_1","TS007A","Age structure",61
"NM_1531_1_11","Age 10","NM_1531_1","TS007A","Age structure",11
"NM_2020_1_14","Aged 65 to 69 years","NM_2020_1","TS007A","Age structure",66
"NM_1531_1_12","Age 11","NM_1531_1","TS007A","Age structure",12
"NM_2020_1_15","Aged 70 to 74 years","NM_2020_1","TS007A","Age structure",71
"NM_1531_1_13","Age 12","NM_1531_1","TS007A","Age structure",13
"NM_2020_1_16","Aged 75 to 79 years","NM_2020_1","TS007A","Age structure",76
"NM_1531_1_14","Age 13","NM_1531_1","TS007A","Age structure",14
"NM_2020_1_17","Aged 80 to 84 years","NM_2020_1","TS007A","Age structure",81
"NM_1531_1_15","Age 14","NM_1531_1","TS007A","Age structure",15
"NM_2020_1_18","Aged 85 years and over","NM_2020_1","TS007A","Age structure",86
"NM_1531_1_16","Age 15","NM_1531_1","TS007A","Age structure",16
"NM_1531_1_17","Age 16","NM_1531_1","TS007A","Age structure",17
"NM_1531_1_18","Age 17","NM_1531_1","TS007A","Age structure",18
"NM_1531_1_19","Age 18","NM_1531_1","TS007A","Age structure",19
"NM_1531_1_20","Age 19","NM_1531_1","TS007A","Age structure",20
"NM_1531_1_21","Age 20","NM_1531_1","TS007A","Age structure",21
"NM_1531_1_22","Age 21","NM_1531_1","TS007A","Age structure",22
"NM_1531_1_23","Age 22","NM_1531_1","TS007A","Age structure",23
"NM_1531_1_24","Age 23","NM_1531_1","TS007A","Age structure",24
"NM_1531_1_25","Age 24","NM_1531_1","TS007A","Age structure",25
"NM_1531_1_26","Age 25","NM_1531_1","TS007A","Age structure",26
"NM_1531_1_27","Age 26","NM_1531_1","TS007A","Age structure",27
"NM_1531_1_28","Age 27","NM_1531_1","TS007A","Age structure",28
"NM_1531_1_29","Age 28","NM_1531_1","TS007A","Age structure",29
"NM_1531_1_30","Age 29","NM_1531_1","TS007A","Age structure",30
"NM_1531_1_31","Age 30","NM_1531_1","TS007A","Age structure",31
"NM_1531_1_32","Age 31","NM_1531_1","TS007A","Age structure",32
"NM_1531_1_33","Age 32","NM_1531_1","TS007A","Age structure",33
"NM_1531_1_34","Age 33","NM_1531_1","TS007A","Age structure",34
"NM_1531_1_35","Age 34","NM_1531_1","TS007A","Age structure",35
"NM_1531_1_36","Age 35","NM_1531_1","TS007A","Age structure",36
"NM_1531_1_37","Age 36","NM_1531_1","TS007A","Age structure",37
"NM_1531_1_38","Age 37","NM_1531_1","TS007A","Age structure",38
"NM_1531_1_39","Age 38","NM_1531_1","TS007A","Age structure",39
"NM_1531_1_40","Age 39","NM_1531_1","TS007A","Age structure",40
"NM_1531_1_41","Age 40","NM_1531_1","TS007A","Age structure",41
"NM_1531_1_42","Age 41","NM_1531_1","TS007A","Age structure",42
"NM_1531_1_43","Age 42","NM_1531_1","TS007A","Age structure",43
"NM_1531_1_44","Age 43","NM_1531_1","TS007A","Age structure",44
