"TableVariableCode21","CategoryCode21","VariableName21","Denominator21","TS_code","TableName21","TableCode21","Domain21","TableCode11","nested"
"NM_2021_1_0",0,"Total: All usual residents","All usual residents","TS001","Number of usual residents in households and communal establishments","NM_2021_1","Demography and Migration","NM_1530_1",0
"NM_2021_1_1",1,"Lives in a household","All usual residents","TS001","Number of usual residents in households and communal establishments","NM_2021_1","Demography and Migration","NM_1530_1",1
"NM_2021_1_2",2,"Lives in a communal establishment","All usual residents","TS001","Number of usual residents in households and communal establishments","NM_2021_1","Demography and Migration","NM_1530_1",1
"NM_2022_1_0",0,"Total: All usual residents aged 16 years and over","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",0
"NM_2022_1_1",1,"Never married and never registered a civil partnership","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",1
"NM_2022_1_1001",1001,"Married or in a registered civil partnership","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",1
"NM_2022_1_1002",1002,"Married or in a registered civil partnership: Married","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2022_1_2",2,"Married or in a registered civil partnership: Married: Opposite sex","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",3
"NM_2022_1_3",3,"Married or in a registered civil partnership: Married: Same sex","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",3
"NM_2022_1_1003",1003,"Married or in a registered civil partnership: In a registered civil partnership","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2022_1_4",4,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",3
"NM_2022_1_5",5,"Married or in a registered civil partnership: In a registered civil partnership: Same sex","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",3
"NM_2022_1_1004",1004,"Separated, but still legally married or still legally in a civil partnership","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",1
"NM_2022_1_6",6,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2022_1_7",7,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2022_1_1005",1005,"Divorced or civil partnership dissolved","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",1
"NM_2022_1_8",8,"Divorced or civil partnership dissolved: Divorced","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2022_1_9",9,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2022_1_1006",1006,"Widowed or surviving civil partnership partner","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",1
"NM_2022_1_10",10,"Widowed or surviving civil partnership partner: Widowed","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2022_1_11",11,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership","All usual residents","TS002","Legal partnership status","NM_2022_1","Demography and Migration","NM_1500_1",2
"NM_2023_1_0",0,"Total: All households","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",0
"NM_2023_1_1001",1001,"One-person household","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",1
"NM_2023_1_1",1,"One-person household: Aged 66 years and over","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_2",2,"One-person household: Other","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_1002",1002,"Single family household","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",1
"NM_2023_1_3",3,"Single family household: All aged 66 years and over","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_1003",1003,"Single family household: Married or civil partnership couple","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_4",4,"Single family household: Married or civil partnership couple: No children","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_5",5,"Single family household: Married or civil partnership couple: Dependent children","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_6",6,"Single family household: Married or civil partnership couple: All children non-dependent","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_1004",1004,"Single family household: Cohabiting couple family","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_7",7,"Single family household: Cohabiting couple family: No children","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_8",8,"Single family household: Cohabiting couple family: With dependent children","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_9",9,"Single family household: Cohabiting couple family: All children non-dependent","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_1005",1005,"Single family household: Lone parent family","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_10",10,"Single family household: Lone parent family: With dependent children","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
