"Code","Name","TableCode","TS_code","TableName21","CategoryCode11"
"NM_2021_1_0","Total: All usual residents","NM_2021_1","TS001","Residency type",0
"NM_2021_1_1","Lives in a household","NM_2021_1","TS001","Residency type",1
"NM_2021_1_2","Lives in a communal establishment","NM_2021_1","TS001","Residency type",2
"NM_2022_1_0","Total: All usual residents aged 16 years and over","NM_2022_1","TS002","Legal partnership status",0
"NM_2022_1_1","Never married and never registered a civil partnership","NM_2022_1","TS002","Legal partnership status",1
"NM_2022_1_1001","Married or in a registered civil partnership","NM_2022_1","TS002","Legal partnership status",2
"NM_2022_1_1004","Separated, but still legally married or still legally in a civil partnership","NM_2022_1","TS002","Legal partnership status",4
"NM_2022_1_1005","Divorced or civil partnership dissolved","NM_2022_1","TS002","Legal partnership status",5
"NM_2022_1_1006","Widowed or surviving civil partnership partner","NM_2022_1","TS002","Legal partnership status",6
"separated_divorced","Separated or divorced","NM_2022_1","TS002","Legal partnership status",NA
"NM_2023_1_0","Total: All households","NM_2023_1","TS003","Household composition",0
"NM_2023_1_1001","One-person household","NM_2023_1","TS003","Household composition",1
"NM_2023_1_1","One-person household: Aged 66 years and over","NM_2023_1","TS003","Household composition",2
"NM_2023_1_2","One-person household: Other","NM_2023_1","TS003","Household composition",3
"NM_2023_1_1002","Single family household","NM_2023_1","TS003","Household composition",4
"NM_2023_1_3","Single family household: All aged 66 years and over","NM_2023_1","TS003","Household composition",5
"NM_2023_1_1003","Single family household: Married or civil partnership couple","NM_2023_1","TS003","Household composition",6
"NM_2023_1_4","Single family household: Married or civil partnership couple: No children","NM_2023_1","TS003","Household composition",7
"NM_2023_1_5","Single family household: Married or civil partnership couple: Dependent children","NM_2023_1","TS003","Household composition",8
"NM_2023_1_6","Single family household: Married or civil partnership couple: All children non-dependent","NM_2023_1","TS003","Household composition",10
"NM_2023_1_1004","Single family household: Cohabiting couple family","NM_2023_1","TS003","Household composition",12
"NM_2023_1_7","Single family household: Cohabiting couple family: No children","NM_2023_1","TS003","Household composition",13
"NM_2023_1_8","Single family household: Cohabiting couple family: With dependent children","NM_2023_1","TS003","Household composition",14
"NM_2023_1_9","Single family household: Cohabiting couple family: All children non-dependent","NM_2023_1","TS003","Household composition",16
"NM_2023_1_1005","Single family household: Lone parent family","NM_2023_1","TS003","Household composition",17
"NM_2023_1_10","Single family household: Lone parent family: With dependent children","NM_2023_1","TS003","Household composition",18
"NM_2023_1_11","Single family household: Lone parent family: All children non-dependent","NM_2023_1","TS003","Household composition",20
"NM_2023_1_1007","Other household types","NM_2023_1","TS003","Household composition",21
"NM_2023_1_13","Other household types: With dependent children","NM_2023_1","TS003","Household composition",22
"NM_2023_1_14","Other household types: Other, including all full-time students and all aged 66 years and over","NM_2023_1","TS003","Household composition",24
"no_children","Families with no children","NM_2023_1","TS003","Household composition",NA
"dependent_children","Families dependent children","NM_2023_1","TS003","Household composition",NA
"nondependent_children","Families with non-dependent children","NM_2023_1","TS003","Household composition",NA
"NM_2024_1_0","Total: All usual residents","NM_2024_1","TS004","Country of birth",0
"NM_2024_1_1001","Europe","NM_2024_1","TS004","Country of birth",1
